Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=2, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='AKT', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.38749, auc : 0.88880, accuracy : 0.82782
Epoch 1/20, valid auc : 0.90842, valid accuracy : 0.84673
0.0000 to 0.9084
test_auc: 0.6212	test_accuracy: 0.5274	test_loss: 0.6638	
test_auc: 0.8069	test_accuracy: 0.7762	test_loss: 0.4930	
test_auc: 0.8778	test_accuracy: 0.8305	test_loss: 0.3958	
test_auc: 0.8970	test_accuracy: 0.8537	test_loss: 0.3576	
test_auc: 0.9047	test_accuracy: 0.8610	test_loss: 0.3437	
test_auc: 0.9076	test_accuracy: 0.8672	test_loss: 0.3351	
test_auc: 0.9113	test_accuracy: 0.8685	test_loss: 0.3302	
test_auc: 0.9187	test_accuracy: 0.8744	test_loss: 0.3208	
test_auc: 0.9168	test_accuracy: 0.8773	test_loss: 0.3184	
test_auc: 0.9234	test_accuracy: 0.8779	test_loss: 0.3101	
test_auc: 0.9218	test_accuracy: 0.8773	test_loss: nan	
test_auc: 0.9241	test_accuracy: 0.8767	test_loss: nan	
test_auc: 0.9245	test_accuracy: 0.8800	test_loss: nan	
test_auc: 0.9249	test_accuracy: 0.8800	test_loss: nan	
test_auc: 0.9252	test_accuracy: 0.8799	test_loss: nan	
test_auc: 0.9279	test_accuracy: 0.8825	test_loss: nan	
test_auc: 0.9265	test_accuracy: 0.8823	test_loss: nan	
test_auc: 0.9283	test_accuracy: 0.8812	test_loss: nan	
test_auc: 0.9208	test_accuracy: 0.8734	test_loss: nan	
test_auc: 0.9276	test_accuracy: 0.8814	test_loss: nan	
test_auc: 0.9275	test_accuracy: 0.8780	test_loss: nan	
test_auc: 0.9289	test_accuracy: 0.8840	test_loss: nan	
test_auc: 0.9302	test_accuracy: 0.8812	test_loss: nan	
test_auc: 0.9257	test_accuracy: 0.8844	test_loss: nan	
test_auc: 0.9351	test_accuracy: 0.8864	test_loss: nan	
test_auc: 0.9316	test_accuracy: 0.8849	test_loss: nan	
test_auc: 0.9305	test_accuracy: 0.8828	test_loss: nan	
test_auc: 0.9290	test_accuracy: 0.8814	test_loss: nan	
test_auc: 0.9282	test_accuracy: 0.8765	test_loss: nan	
test_auc: 0.9325	test_accuracy: 0.8847	test_loss: nan	
test_auc: 0.9258	test_accuracy: 0.8791	test_loss: nan	
test_auc: 0.9275	test_accuracy: 0.8845	test_loss: nan	
test_auc: 0.9268	test_accuracy: 0.8736	test_loss: nan	
test_auc: 0.9326	test_accuracy: 0.8829	test_loss: nan	
test_auc: 0.9301	test_accuracy: 0.8872	test_loss: nan	
test_auc: 0.9319	test_accuracy: 0.8796	test_loss: nan	
test_auc: 0.9293	test_accuracy: 0.8770	test_loss: nan	
test_auc: 0.9260	test_accuracy: 0.8796	test_loss: nan	
test_auc: 0.9346	test_accuracy: 0.8851	test_loss: nan	
test_auc: 0.9317	test_accuracy: 0.8834	test_loss: nan	
test_auc: 0.9318	test_accuracy: 0.8815	test_loss: nan	
test_auc: 0.9272	test_accuracy: 0.8816	test_loss: nan	
test_auc: 0.9311	test_accuracy: 0.8888	test_loss: nan	
