Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-AKT', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.30639, auc : 0.93488, accuracy : 0.87452
Epoch 1/20, valid auc : 0.92481, valid accuracy : 0.85832
0.0000 to 0.9248
test_auc: 0.6057	test_accuracy: 0.5836	test_loss: 0.6753	
0test_auc: 0.8216	test_accuracy: 0.8076	test_loss: 0.4898	
1test_auc: 0.9123	test_accuracy: 0.8603	test_loss: 0.3488	
2test_auc: 0.9327	test_accuracy: 0.8776	test_loss: 0.3048	
3test_auc: 0.9356	test_accuracy: 0.8836	test_loss: 0.2978	
4test_auc: 0.9363	test_accuracy: 0.8838	test_loss: 0.2940	
5test_auc: 0.9371	test_accuracy: 0.8861	test_loss: 0.2916	
6test_auc: 0.9408	test_accuracy: 0.8878	test_loss: 0.2869	
7test_auc: 0.9409	test_accuracy: 0.8899	test_loss: 0.2848	
8test_auc: 0.9423	test_accuracy: 0.8887	test_loss: 0.2834	
9test_auc: 0.9415	test_accuracy: 0.8895	test_loss: nan	
10test_auc: 0.9390	test_accuracy: 0.8872	test_loss: nan	
11test_auc: 0.9400	test_accuracy: 0.8861	test_loss: nan	
12test_auc: 0.9401	test_accuracy: 0.8891	test_loss: nan	
13test_auc: 0.9427	test_accuracy: 0.8921	test_loss: nan	
14test_auc: 0.9428	test_accuracy: 0.8907	test_loss: nan	
15test_auc: 0.9412	test_accuracy: 0.8910	test_loss: nan	
16test_auc: 0.9394	test_accuracy: 0.8867	test_loss: nan	
17test_auc: 0.9395	test_accuracy: 0.8844	test_loss: nan	
18test_auc: 0.9437	test_accuracy: 0.8923	test_loss: nan	
19test_auc: 0.9423	test_accuracy: 0.8860	test_loss: nan	
20test_auc: 0.9412	test_accuracy: 0.8895	test_loss: nan	
21test_auc: 0.9385	test_accuracy: 0.8833	test_loss: nan	
22test_auc: 0.9436	test_accuracy: 0.8902	test_loss: nan	
23test_auc: 0.9448	test_accuracy: 0.8902	test_loss: nan	
24test_auc: 0.9401	test_accuracy: 0.8881	test_loss: nan	
25test_auc: 0.9431	test_accuracy: 0.8901	test_loss: nan	
26test_auc: 0.9383	test_accuracy: 0.8810	test_loss: nan	
27test_auc: 0.9389	test_accuracy: 0.8812	test_loss: nan	
28test_auc: 0.9419	test_accuracy: 0.8890	test_loss: nan	
29test_auc: 0.9349	test_accuracy: 0.8827	test_loss: nan	
30test_auc: 0.9409	test_accuracy: 0.8857	test_loss: nan	
31test_auc: 0.9366	test_accuracy: 0.8819	test_loss: nan	
32test_auc: 0.9388	test_accuracy: 0.8834	test_loss: nan	
33test_auc: 0.9405	test_accuracy: 0.8868	test_loss: nan	
34test_auc: 0.9371	test_accuracy: 0.8802	test_loss: nan	
35test_auc: 0.9363	test_accuracy: 0.8772	test_loss: nan	
36test_auc: 0.9358	test_accuracy: 0.8817	test_loss: nan	
37test_auc: 0.9435	test_accuracy: 0.8875	test_loss: nan	
38test_auc: 0.9420	test_accuracy: 0.8850	test_loss: nan	
39test_auc: 0.9430	test_accuracy: 0.8834	test_loss: nan	
40test_auc: 0.9386	test_accuracy: 0.8844	test_loss: nan	
41test_auc: 0.9437	test_accuracy: 0.8933	test_loss: nan	
42test_auc: 0.9408	test_accuracy: 0.8847	test_loss: nan	
43test_auc: 0.9415	test_accuracy: 0.8866	test_loss: nan	
44test_auc: 0.9395	test_accuracy: 0.8864	test_loss: nan	
45test_auc: 0.9378	test_accuracy: 0.8805	test_loss: nan	
46test_auc: 0.9440	test_accuracy: 0.8905	test_loss: nan	
47test_auc: 0.9340	test_accuracy: 0.8755	test_loss: nan	
48test_auc: 0.9340	test_accuracy: 0.8760	test_loss: nan	
49test_auc: 0.9421	test_accuracy: 0.8837	test_loss: nan	
50test_auc: 0.9398	test_accuracy: 0.8836	test_loss: nan	
51test_auc: 0.9376	test_accuracy: 0.8843	test_loss: nan	
52test_auc: 0.9435	test_accuracy: 0.8904	test_loss: nan	
53test_auc: 0.9425	test_accuracy: 0.8894	test_loss: nan	
54test_auc: 0.9445	test_accuracy: 0.8852	test_loss: nan	
55test_auc: 0.9447	test_accuracy: 0.8918	test_loss: nan	
56test_auc: 0.9339	test_accuracy: 0.8736	test_loss: nan	
57test_auc: 0.9432	test_accuracy: 0.8902	test_loss: nan	
58test_auc: 0.9455	test_accuracy: 0.8861	test_loss: nan	
59test_auc: 0.9382	test_accuracy: 0.8832	test_loss: nan	
60test_auc: 0.9424	test_accuracy: 0.8837	test_loss: nan	
61test_auc: 0.9410	test_accuracy: 0.8851	test_loss: nan	
62test_auc: 0.9391	test_accuracy: 0.8827	test_loss: nan	
63test_auc: 0.9461	test_accuracy: 0.8886	test_loss: nan	
64test_auc: 0.9493	test_accuracy: 0.8945	test_loss: nan	
