Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-AKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.56204, auc : 0.76612, accuracy : 0.72460
Epoch 1/20, valid auc : 0.85438, valid accuracy : 0.79218
0.0000 to 0.8544
test_auc: 0.5748	test_accuracy: 0.5740	test_loss: 0.6923	
0test_auc: 0.8079	test_accuracy: 0.7472	test_loss: 0.5607	
1test_auc: 0.7783	test_accuracy: 0.7361	test_loss: 0.5440	
2test_auc: 0.8695	test_accuracy: 0.8165	test_loss: 0.4241	
3test_auc: 0.8466	test_accuracy: 0.7814	test_loss: 0.4473	
4test_auc: 0.8617	test_accuracy: 0.8153	test_loss: 0.4288	
5test_auc: 0.8389	test_accuracy: 0.7822	test_loss: 0.4692	
6test_auc: 0.8773	test_accuracy: 0.8140	test_loss: 0.4014	
7test_auc: 0.8488	test_accuracy: 0.7783	test_loss: 0.4504	
8test_auc: 0.8998	test_accuracy: 0.8313	test_loss: 0.3859	
9test_auc: 0.8565	test_accuracy: 0.7927	test_loss: 0.4412	
10test_auc: 0.8505	test_accuracy: 0.7993	test_loss: 0.4382	
11test_auc: 0.8427	test_accuracy: 0.7874	test_loss: 0.4473	
12test_auc: 0.8678	test_accuracy: 0.8084	test_loss: 0.4100	
13test_auc: 0.8701	test_accuracy: 0.7996	test_loss: 0.4498	
14test_auc: 0.8508	test_accuracy: 0.7894	test_loss: 0.4540	
15test_auc: 0.8551	test_accuracy: 0.7828	test_loss: 0.4679	
16test_auc: 0.8806	test_accuracy: 0.8175	test_loss: 0.4034	
17test_auc: 0.8602	test_accuracy: 0.8004	test_loss: 0.4492	
18test_auc: 0.8689	test_accuracy: 0.7941	test_loss: 0.4622	
19test_auc: 0.8681	test_accuracy: 0.8156	test_loss: nan	
20test_auc: 0.8690	test_accuracy: 0.8102	test_loss: nan	
21test_auc: 0.8393	test_accuracy: 0.7909	test_loss: nan	
22test_auc: 0.8673	test_accuracy: 0.8029	test_loss: nan	
23test_auc: 0.8805	test_accuracy: 0.8083	test_loss: nan	
24test_auc: 0.8867	test_accuracy: 0.8191	test_loss: nan	
25test_auc: 0.8513	test_accuracy: 0.7862	test_loss: nan	
26test_auc: 0.8651	test_accuracy: 0.7982	test_loss: nan	
27test_auc: 0.8731	test_accuracy: 0.8123	test_loss: nan	
28test_auc: 0.8522	test_accuracy: 0.7850	test_loss: nan	
29test_auc: 0.8652	test_accuracy: 0.7957	test_loss: nan	
30test_auc: 0.8531	test_accuracy: 0.7890	test_loss: nan	
31test_auc: 0.8655	test_accuracy: 0.7947	test_loss: nan	
32test_auc: 0.8603	test_accuracy: 0.8066	test_loss: nan	
33test_auc: 0.8710	test_accuracy: 0.8096	test_loss: nan	
34test_auc: 0.8595	test_accuracy: 0.7871	test_loss: nan	
35test_auc: 0.8618	test_accuracy: 0.7816	test_loss: nan	
36test_auc: 0.8521	test_accuracy: 0.7833	test_loss: nan	
37test_auc: 0.8430	test_accuracy: 0.7779	test_loss: nan	
38test_auc: 0.8550	test_accuracy: 0.7691	test_loss: nan	
39test_auc: 0.8536	test_accuracy: 0.7932	test_loss: nan	
40test_auc: 0.8562	test_accuracy: 0.7994	test_loss: nan	
41test_auc: 0.8597	test_accuracy: 0.7901	test_loss: nan	
42test_auc: 0.8601	test_accuracy: 0.7907	test_loss: nan	
43test_auc: 0.8592	test_accuracy: 0.7895	test_loss: nan	
44test_auc: 0.8377	test_accuracy: 0.7757	test_loss: nan	
45test_auc: 0.8621	test_accuracy: 0.7699	test_loss: nan	
46test_auc: 0.8676	test_accuracy: 0.8093	test_loss: nan	
47test_auc: 0.8550	test_accuracy: 0.7927	test_loss: nan	
48test_auc: 0.8577	test_accuracy: 0.7850	test_loss: nan	
49test_auc: 0.8549	test_accuracy: 0.7979	test_loss: nan	
50test_auc: 0.8601	test_accuracy: 0.7900	test_loss: nan	
51test_auc: 0.8340	test_accuracy: 0.7906	test_loss: nan	
52test_auc: 0.8621	test_accuracy: 0.8218	test_loss: nan	
53test_auc: 0.8349	test_accuracy: 0.7923	test_loss: nan	
54test_auc: 0.8476	test_accuracy: 0.7870	test_loss: nan	
55test_auc: 0.8464	test_accuracy: 0.7645	test_loss: nan	
56test_auc: 0.8653	test_accuracy: 0.8105	test_loss: nan	
57test_auc: 0.8415	test_accuracy: 0.7875	test_loss: nan	
