Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=3, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='AKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.54657, auc : 0.66221, accuracy : 0.70717
Epoch 1/20, valid auc : 0.69606, valid accuracy : 0.72775
0.0000 to 0.6961
test_auc: 0.6693	test_accuracy: 0.6396	test_loss: 0.6205	
test_auc: 0.7074	test_accuracy: 0.7069	test_loss: 0.5388	
test_auc: 0.7320	test_accuracy: 0.7594	test_loss: 0.4767	
test_auc: 0.6302	test_accuracy: 0.6998	test_loss: 0.5635	
test_auc: 0.6798	test_accuracy: 0.7229	test_loss: 0.5202	
test_auc: 0.6982	test_accuracy: 0.7421	test_loss: 0.4978	
test_auc: 0.6851	test_accuracy: 0.7292	test_loss: 0.5234	
test_auc: 0.7045	test_accuracy: 0.7362	test_loss: 0.5105	
test_auc: 0.7007	test_accuracy: 0.7534	test_loss: 0.4948	
test_auc: 0.6937	test_accuracy: 0.7351	test_loss: 0.5156	
test_auc: 0.7116	test_accuracy: 0.7421	test_loss: 0.5037	
test_auc: 0.7063	test_accuracy: 0.7492	test_loss: 0.4986	
test_auc: 0.7042	test_accuracy: 0.7381	test_loss: 0.5142	
test_auc: 0.6919	test_accuracy: 0.7258	test_loss: 0.5248	
test_auc: 0.7050	test_accuracy: 0.7378	test_loss: 0.5096	
test_auc: 0.6999	test_accuracy: 0.7433	test_loss: nan	
test_auc: 0.6908	test_accuracy: 0.7372	test_loss: nan	
test_auc: 0.7015	test_accuracy: 0.7363	test_loss: nan	
test_auc: 0.7115	test_accuracy: 0.7442	test_loss: nan	
test_auc: 0.7159	test_accuracy: 0.7408	test_loss: nan	
test_auc: 0.7076	test_accuracy: 0.7363	test_loss: nan	
test_auc: 0.7220	test_accuracy: 0.7507	test_loss: nan	
test_auc: 0.6980	test_accuracy: 0.7337	test_loss: nan	
test_auc: 0.7114	test_accuracy: 0.7314	test_loss: nan	
test_auc: 0.7145	test_accuracy: 0.7290	test_loss: nan	
test_auc: 0.7059	test_accuracy: 0.7225	test_loss: nan	
test_auc: 0.7091	test_accuracy: 0.7318	test_loss: nan	
test_auc: 0.7041	test_accuracy: 0.7380	test_loss: nan	
test_auc: 0.7002	test_accuracy: 0.7238	test_loss: nan	
test_auc: 0.7102	test_accuracy: 0.7377	test_loss: nan	
test_auc: 0.6966	test_accuracy: 0.7357	test_loss: nan	
