Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=3, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='DKT', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=1e-05)Epoch 1/20, loss : 0.58981, auc : 0.73142, accuracy : 0.69133
Epoch 1/20, valid auc : 0.74346, valid accuracy : 0.69947
0.0000 to 0.7435
test_auc: 0.5691	test_accuracy: 0.5579	test_loss: 0.7098	
test_auc: 0.7259	test_accuracy: 0.7172	test_loss: 0.5770	
test_auc: 0.7509	test_accuracy: 0.7236	test_loss: 0.5458	
test_auc: 0.7674	test_accuracy: 0.7316	test_loss: 0.5321	
test_auc: 0.7623	test_accuracy: 0.7330	test_loss: 0.5349	
test_auc: 0.7681	test_accuracy: 0.7376	test_loss: 0.5266	
test_auc: 0.7759	test_accuracy: 0.7385	test_loss: 0.5257	
test_auc: 0.7776	test_accuracy: 0.7402	test_loss: 0.5269	
test_auc: 0.7744	test_accuracy: 0.7416	test_loss: 0.5248	
test_auc: 0.7772	test_accuracy: 0.7391	test_loss: 0.5254	
test_auc: 0.7818	test_accuracy: 0.7425	test_loss: nan	
test_auc: 0.7781	test_accuracy: 0.7329	test_loss: nan	
test_auc: 0.7746	test_accuracy: 0.7356	test_loss: nan	
test_auc: 0.7794	test_accuracy: 0.7372	test_loss: nan	
test_auc: 0.7742	test_accuracy: 0.7296	test_loss: nan	
test_auc: 0.7786	test_accuracy: 0.7353	test_loss: nan	
test_auc: 0.7791	test_accuracy: 0.7367	test_loss: nan	
test_auc: 0.7805	test_accuracy: 0.7346	test_loss: nan	
test_auc: 0.7746	test_accuracy: 0.7320	test_loss: nan	
test_auc: 0.7766	test_accuracy: 0.7329	test_loss: nan	
test_auc: 0.7806	test_accuracy: 0.7338	test_loss: nan	
test_auc: 0.7696	test_accuracy: 0.7279	test_loss: nan	
test_auc: 0.7837	test_accuracy: 0.7356	test_loss: nan	
test_auc: 0.7697	test_accuracy: 0.7203	test_loss: nan	
test_auc: 0.7783	test_accuracy: 0.7282	test_loss: nan	
test_auc: 0.7752	test_accuracy: 0.7273	test_loss: nan	
test_auc: 0.7758	test_accuracy: 0.7244	test_loss: nan	
test_auc: 0.7715	test_accuracy: 0.7185	test_loss: nan	
test_auc: 0.7752	test_accuracy: 0.7178	test_loss: nan	
test_auc: 0.7792	test_accuracy: 0.7274	test_loss: nan	
test_auc: 0.7653	test_accuracy: 0.7226	test_loss: nan	
test_auc: 0.7778	test_accuracy: 0.7307	test_loss: nan	
test_auc: 0.7646	test_accuracy: 0.7176	test_loss: nan	
test_auc: 0.7772	test_accuracy: 0.7272	test_loss: nan	
test_auc: 0.7663	test_accuracy: 0.7207	test_loss: nan	
test_auc: 0.7703	test_accuracy: 0.7211	test_loss: nan	
test_auc: 0.7619	test_accuracy: 0.7194	test_loss: nan	
test_auc: 0.7609	test_accuracy: 0.7182	test_loss: nan	
