Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-DKT', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.29731, auc : 0.93892, accuracy : 0.87979
Epoch 1/20, valid auc : 0.92042, valid accuracy : 0.85248
0.0000 to 0.9204
test_auc: 0.6170	test_accuracy: 0.5368	test_loss: 0.6890	
0test_auc: 0.8553	test_accuracy: 0.8240	test_loss: 0.4334	
1test_auc: 0.9165	test_accuracy: 0.8651	test_loss: 0.3426	
2test_auc: 0.9355	test_accuracy: 0.8829	test_loss: 0.2973	
3test_auc: 0.9379	test_accuracy: 0.8883	test_loss: 0.2889	
4test_auc: 0.9375	test_accuracy: 0.8851	test_loss: 0.2902	
5test_auc: 0.9370	test_accuracy: 0.8851	test_loss: 0.2897	
6test_auc: 0.9398	test_accuracy: 0.8867	test_loss: 0.2859	
7test_auc: 0.9404	test_accuracy: 0.8873	test_loss: 0.2843	
8test_auc: 0.9415	test_accuracy: 0.8889	test_loss: 0.2831	
9test_auc: 0.9408	test_accuracy: 0.8835	test_loss: nan	
10test_auc: 0.9382	test_accuracy: 0.8854	test_loss: nan	
11test_auc: 0.9380	test_accuracy: 0.8840	test_loss: nan	
12test_auc: 0.9377	test_accuracy: 0.8852	test_loss: nan	
13test_auc: 0.9410	test_accuracy: 0.8883	test_loss: nan	
14test_auc: 0.9393	test_accuracy: 0.8844	test_loss: nan	
15test_auc: 0.9394	test_accuracy: 0.8875	test_loss: nan	
16test_auc: 0.9376	test_accuracy: 0.8803	test_loss: nan	
17test_auc: 0.9381	test_accuracy: 0.8827	test_loss: nan	
18test_auc: 0.9401	test_accuracy: 0.8902	test_loss: nan	
19test_auc: 0.9393	test_accuracy: 0.8839	test_loss: nan	
20test_auc: 0.9387	test_accuracy: 0.8890	test_loss: nan	
21test_auc: 0.9371	test_accuracy: 0.8823	test_loss: nan	
22test_auc: 0.9412	test_accuracy: 0.8873	test_loss: nan	
23test_auc: 0.9404	test_accuracy: 0.8843	test_loss: nan	
24test_auc: 0.9374	test_accuracy: 0.8896	test_loss: nan	
25test_auc: 0.9379	test_accuracy: 0.8852	test_loss: nan	
26test_auc: 0.9347	test_accuracy: 0.8804	test_loss: nan	
27test_auc: 0.9360	test_accuracy: 0.8772	test_loss: nan	
28test_auc: 0.9378	test_accuracy: 0.8843	test_loss: nan	
29test_auc: 0.9320	test_accuracy: 0.8791	test_loss: nan	
30test_auc: 0.9374	test_accuracy: 0.8840	test_loss: nan	
31test_auc: 0.9313	test_accuracy: 0.8760	test_loss: nan	
32test_auc: 0.9366	test_accuracy: 0.8852	test_loss: nan	
33test_auc: 0.9346	test_accuracy: 0.8847	test_loss: nan	
34test_auc: 0.9296	test_accuracy: 0.8762	test_loss: nan	
35test_auc: 0.9306	test_accuracy: 0.8741	test_loss: nan	
36test_auc: 0.9282	test_accuracy: 0.8751	test_loss: nan	
37test_auc: 0.9397	test_accuracy: 0.8866	test_loss: nan	
38test_auc: 0.9359	test_accuracy: 0.8812	test_loss: nan	
39test_auc: 0.9366	test_accuracy: 0.8816	test_loss: nan	
40test_auc: 0.9342	test_accuracy: 0.8828	test_loss: nan	
41test_auc: 0.9369	test_accuracy: 0.8863	test_loss: nan	
42test_auc: 0.9383	test_accuracy: 0.8842	test_loss: nan	
43test_auc: 0.9340	test_accuracy: 0.8815	test_loss: nan	
44test_auc: 0.9360	test_accuracy: 0.8822	test_loss: nan	
45test_auc: 0.9327	test_accuracy: 0.8771	test_loss: nan	
46test_auc: 0.9377	test_accuracy: 0.8835	test_loss: nan	
47test_auc: 0.9292	test_accuracy: 0.8736	test_loss: nan	
48test_auc: 0.9305	test_accuracy: 0.8719	test_loss: nan	
49test_auc: 0.9368	test_accuracy: 0.8841	test_loss: nan	
50test_auc: 0.9356	test_accuracy: 0.8832	test_loss: nan	
51test_auc: 0.9358	test_accuracy: 0.8839	test_loss: nan	
52test_auc: 0.9380	test_accuracy: 0.8861	test_loss: nan	
53test_auc: 0.9385	test_accuracy: 0.8838	test_loss: nan	
54test_auc: 0.9349	test_accuracy: 0.8816	test_loss: nan	
55test_auc: 0.9412	test_accuracy: 0.8918	test_loss: nan	
56test_auc: 0.9284	test_accuracy: 0.8742	test_loss: nan	
57test_auc: 0.9391	test_accuracy: 0.8882	test_loss: nan	
58test_auc: 0.9409	test_accuracy: 0.8841	test_loss: nan	
59test_auc: 0.9346	test_accuracy: 0.8808	test_loss: nan	
60test_auc: 0.9385	test_accuracy: 0.8835	test_loss: nan	
61test_auc: 0.9360	test_accuracy: 0.8814	test_loss: nan	
62test_auc: 0.9353	test_accuracy: 0.8817	test_loss: nan	
