Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=1, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-DKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/1, loss : 0.45330, auc : 0.83827, accuracy : 0.78060
Epoch 1/1, valid auc : 0.88686, valid accuracy : 0.81563
0.0000 to 0.8869
test_auc: 0.5997	test_accuracy: 0.5765	test_loss: 0.6810	
0test_auc: 0.7951	test_accuracy: 0.7478	test_loss: 0.5286	
1test_auc: 0.8498	test_accuracy: 0.7982	test_loss: 0.4362	
2test_auc: 0.8956	test_accuracy: 0.8366	test_loss: 0.3653	
3test_auc: 0.8808	test_accuracy: 0.8260	test_loss: 0.3831	
4test_auc: 0.8916	test_accuracy: 0.8328	test_loss: 0.3707	
5test_auc: 0.8832	test_accuracy: 0.8142	test_loss: 0.3972	
6test_auc: 0.8990	test_accuracy: 0.8376	test_loss: 0.3524	
7test_auc: 0.8796	test_accuracy: 0.8153	test_loss: 0.3924	
8test_auc: 0.9113	test_accuracy: 0.8450	test_loss: 0.3374	
9test_auc: 0.8916	test_accuracy: 0.8220	test_loss: 0.3791	
10test_auc: 0.8784	test_accuracy: 0.8149	test_loss: 0.3801	
11test_auc: 0.8899	test_accuracy: 0.8322	test_loss: 0.3661	
12test_auc: 0.8959	test_accuracy: 0.8170	test_loss: 0.3634	
13test_auc: 0.9008	test_accuracy: 0.8226	test_loss: 0.3751	
14test_auc: 0.8784	test_accuracy: 0.8015	test_loss: 0.4067	
15test_auc: 0.8919	test_accuracy: 0.8195	test_loss: 0.3952	
16test_auc: 0.9105	test_accuracy: 0.8239	test_loss: 0.3562	
17test_auc: 0.8921	test_accuracy: 0.8105	test_loss: 0.3945	
