Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=1, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-DKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.47326, auc : 0.81956, accuracy : 0.75875
Epoch 1/20, valid auc : 0.87924, valid accuracy : 0.80894
0.0000 to 0.8792
test_auc: 0.6129	test_accuracy: 0.5904	test_loss: 0.6760	
0test_auc: 0.8120	test_accuracy: 0.7486	test_loss: 0.5156	
1test_auc: 0.8316	test_accuracy: 0.7859	test_loss: 0.4581	
2test_auc: 0.9059	test_accuracy: 0.8534	test_loss: 0.3494	
3test_auc: 0.8765	test_accuracy: 0.8174	test_loss: 0.3935	
4test_auc: 0.8875	test_accuracy: 0.8262	test_loss: 0.3786	
5test_auc: 0.8679	test_accuracy: 0.8038	test_loss: 0.4202	
6test_auc: 0.8964	test_accuracy: 0.8262	test_loss: 0.3587	
7test_auc: 0.8646	test_accuracy: 0.8035	test_loss: 0.4229	
8test_auc: 0.9258	test_accuracy: 0.8460	test_loss: 0.3285	
9test_auc: 0.8767	test_accuracy: 0.8096	test_loss: 0.4010	
10test_auc: 0.8748	test_accuracy: 0.8056	test_loss: 0.4003	
11test_auc: 0.8826	test_accuracy: 0.8269	test_loss: 0.3838	
12test_auc: 0.8953	test_accuracy: 0.8180	test_loss: 0.3682	
13test_auc: 0.8952	test_accuracy: 0.8172	test_loss: 0.3894	
14test_auc: 0.8799	test_accuracy: 0.8004	test_loss: 0.4148	
15test_auc: 0.8793	test_accuracy: 0.8084	test_loss: 0.4220	
16test_auc: 0.9075	test_accuracy: 0.8175	test_loss: 0.3564	
17test_auc: 0.8806	test_accuracy: 0.7994	test_loss: 0.4137	
18test_auc: 0.8892	test_accuracy: 0.8105	test_loss: 0.4302	
