Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=1, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='DKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.53851, auc : 0.68200, accuracy : 0.73757
Epoch 1/20, valid auc : 0.69942, valid accuracy : 0.74711
0.0000 to 0.6994
test_auc: 0.6813	test_accuracy: 0.6603	test_loss: 0.6087	
test_auc: 0.7006	test_accuracy: 0.7256	test_loss: 0.5404	
test_auc: 0.7311	test_accuracy: 0.7840	test_loss: 0.4767	
test_auc: 0.6675	test_accuracy: 0.7347	test_loss: 0.5496	
test_auc: 0.6870	test_accuracy: 0.7627	test_loss: 0.5154	
test_auc: 0.6999	test_accuracy: 0.7735	test_loss: 0.4938	
test_auc: 0.6962	test_accuracy: 0.7535	test_loss: 0.5172	
test_auc: 0.7120	test_accuracy: 0.7613	test_loss: 0.5054	
test_auc: 0.7076	test_accuracy: 0.7699	test_loss: 0.4913	
test_auc: 0.6936	test_accuracy: 0.7593	test_loss: 0.5153	
test_auc: 0.7124	test_accuracy: 0.7600	test_loss: 0.5027	
test_auc: 0.7143	test_accuracy: 0.7704	test_loss: 0.4918	
test_auc: 0.7072	test_accuracy: 0.7517	test_loss: 0.5121	
test_auc: 0.6995	test_accuracy: 0.7516	test_loss: 0.5185	
test_auc: 0.7096	test_accuracy: 0.7613	test_loss: 0.5079	
test_auc: 0.7007	test_accuracy: 0.7573	test_loss: nan	
test_auc: 0.6943	test_accuracy: 0.7542	test_loss: nan	
test_auc: 0.6987	test_accuracy: 0.7526	test_loss: nan	
test_auc: 0.7073	test_accuracy: 0.7448	test_loss: nan	
test_auc: 0.7162	test_accuracy: 0.7582	test_loss: nan	
test_auc: 0.7120	test_accuracy: 0.7492	test_loss: nan	
test_auc: 0.7344	test_accuracy: 0.7680	test_loss: nan	
test_auc: 0.6945	test_accuracy: 0.7516	test_loss: nan	
test_auc: 0.7139	test_accuracy: 0.7435	test_loss: nan	
test_auc: 0.7166	test_accuracy: 0.7434	test_loss: nan	
test_auc: 0.7102	test_accuracy: 0.7429	test_loss: nan	
test_auc: 0.7189	test_accuracy: 0.7512	test_loss: nan	
test_auc: 0.7050	test_accuracy: 0.7550	test_loss: nan	
test_auc: 0.7098	test_accuracy: 0.7396	test_loss: nan	
test_auc: 0.7174	test_accuracy: 0.7508	test_loss: nan	
test_auc: 0.7110	test_accuracy: 0.7552	test_loss: nan	
test_auc: 0.7174	test_accuracy: 0.7411	test_loss: nan	
test_auc: 0.7297	test_accuracy: 0.7587	test_loss: nan	
test_auc: 0.7173	test_accuracy: 0.7293	test_loss: nan	
test_auc: 0.6851	test_accuracy: 0.7276	test_loss: nan	
test_auc: 0.7096	test_accuracy: 0.7461	test_loss: nan	
test_auc: 0.7002	test_accuracy: 0.7416	test_loss: nan	
test_auc: 0.6770	test_accuracy: 0.7305	test_loss: nan	
test_auc: 0.7171	test_accuracy: 0.7410	test_loss: nan	
test_auc: 0.6951	test_accuracy: 0.7448	test_loss: nan	
test_auc: 0.6978	test_accuracy: 0.7361	test_loss: nan	
test_auc: 0.7071	test_accuracy: 0.7503	test_loss: nan	
test_auc: 0.6852	test_accuracy: 0.7284	test_loss: nan	
test_auc: 0.7145	test_accuracy: 0.7570	test_loss: nan	
test_auc: 0.7271	test_accuracy: 0.7548	test_loss: nan	
test_auc: 0.7005	test_accuracy: 0.7284	test_loss: nan	
test_auc: 0.7204	test_accuracy: 0.7259	test_loss: nan	
test_auc: 0.7106	test_accuracy: 0.7423	test_loss: nan	
test_auc: 0.7126	test_accuracy: 0.7447	test_loss: nan	
test_auc: 0.7132	test_accuracy: 0.7421	test_loss: nan	
test_auc: 0.7102	test_accuracy: 0.7422	test_loss: nan	
test_auc: 0.7196	test_accuracy: 0.7404	test_loss: nan	
test_auc: 0.6776	test_accuracy: 0.7259	test_loss: nan	
test_auc: 0.6991	test_accuracy: 0.7346	test_loss: nan	
test_auc: 0.6949	test_accuracy: 0.7359	test_loss: nan	
test_auc: 0.7117	test_accuracy: 0.7622	test_loss: nan	
test_auc: 0.6927	test_accuracy: 0.7608	test_loss: nan	
