Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='DKVMN', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.62297, auc : 0.66470, accuracy : 0.64649
Epoch 1/20, valid auc : 0.67197, valid accuracy : 0.64412
0.0000 to 0.6720
test_auc: 0.5510	test_accuracy: 0.5020	test_loss: 0.7516	
test_auc: 0.6740	test_accuracy: 0.6900	test_loss: 0.5966	
test_auc: 0.7136	test_accuracy: 0.6924	test_loss: 0.5680	
test_auc: 0.7252	test_accuracy: 0.7011	test_loss: 0.5575	
test_auc: 0.7217	test_accuracy: 0.6981	test_loss: 0.5598	
test_auc: 0.7210	test_accuracy: 0.6980	test_loss: 0.5573	
test_auc: 0.7254	test_accuracy: 0.6973	test_loss: 0.5580	
test_auc: 0.7241	test_accuracy: 0.6921	test_loss: 0.5611	
test_auc: 0.7235	test_accuracy: 0.6934	test_loss: 0.5586	
test_auc: 0.7240	test_accuracy: 0.6902	test_loss: 0.5609	
test_auc: 0.7270	test_accuracy: 0.6907	test_loss: nan	
test_auc: 0.7220	test_accuracy: 0.6839	test_loss: nan	
test_auc: 0.7221	test_accuracy: 0.6819	test_loss: nan	
test_auc: 0.7212	test_accuracy: 0.6773	test_loss: nan	
test_auc: 0.7150	test_accuracy: 0.6749	test_loss: nan	
test_auc: 0.7172	test_accuracy: 0.6736	test_loss: nan	
test_auc: 0.7143	test_accuracy: 0.6783	test_loss: nan	
test_auc: 0.7151	test_accuracy: 0.6671	test_loss: nan	
test_auc: 0.7111	test_accuracy: 0.6665	test_loss: nan	
test_auc: 0.7096	test_accuracy: 0.6636	test_loss: nan	
test_auc: 0.7110	test_accuracy: 0.6657	test_loss: nan	
test_auc: 0.7091	test_accuracy: 0.6691	test_loss: nan	
test_auc: 0.7202	test_accuracy: 0.6666	test_loss: nan	
test_auc: 0.7070	test_accuracy: 0.6609	test_loss: nan	
test_auc: 0.7088	test_accuracy: 0.6663	test_loss: nan	
test_auc: 0.7114	test_accuracy: 0.6619	test_loss: nan	
test_auc: 0.7110	test_accuracy: 0.6648	test_loss: nan	
test_auc: 0.7061	test_accuracy: 0.6655	test_loss: nan	
test_auc: 0.7061	test_accuracy: 0.6565	test_loss: nan	
test_auc: 0.7160	test_accuracy: 0.6707	test_loss: nan	
test_auc: 0.7019	test_accuracy: 0.6630	test_loss: nan	
test_auc: 0.7107	test_accuracy: 0.6678	test_loss: nan	
test_auc: 0.7045	test_accuracy: 0.6629	test_loss: nan	
test_auc: 0.7053	test_accuracy: 0.6610	test_loss: nan	
test_auc: 0.6916	test_accuracy: 0.6605	test_loss: nan	
test_auc: 0.6968	test_accuracy: 0.6625	test_loss: nan	
test_auc: 0.6946	test_accuracy: 0.6524	test_loss: nan	
test_auc: 0.6965	test_accuracy: 0.6572	test_loss: nan	
test_auc: 0.6943	test_accuracy: 0.6532	test_loss: nan	
test_auc: 0.6904	test_accuracy: 0.6487	test_loss: nan	
test_auc: 0.6944	test_accuracy: 0.6595	test_loss: nan	
test_auc: 0.6787	test_accuracy: 0.6541	test_loss: nan	
test_auc: 0.6825	test_accuracy: 0.6551	test_loss: nan	
test_auc: 0.6961	test_accuracy: 0.6619	test_loss: nan	
test_auc: 0.6790	test_accuracy: 0.6547	test_loss: nan	
test_auc: 0.6960	test_accuracy: 0.6703	test_loss: nan	
test_auc: 0.6843	test_accuracy: 0.6660	test_loss: nan	
test_auc: 0.6705	test_accuracy: 0.6520	test_loss: nan	
test_auc: 0.6801	test_accuracy: 0.6583	test_loss: nan	
test_auc: 0.6916	test_accuracy: 0.6643	test_loss: nan	
test_auc: 0.6868	test_accuracy: 0.6656	test_loss: nan	
test_auc: 0.6906	test_accuracy: 0.6728	test_loss: nan	
test_auc: 0.6748	test_accuracy: 0.6572	test_loss: nan	
test_auc: 0.6770	test_accuracy: 0.6608	test_loss: nan	
test_auc: 0.6763	test_accuracy: 0.6628	test_loss: nan	
test_auc: 0.6894	test_accuracy: 0.6724	test_loss: nan	
test_auc: 0.6880	test_accuracy: 0.6692	test_loss: nan	
test_auc: 0.6799	test_accuracy: 0.6667	test_loss: nan	
test_auc: 0.6877	test_accuracy: 0.6716	test_loss: nan	
test_auc: 0.6925	test_accuracy: 0.6791	test_loss: nan	
test_auc: 0.6784	test_accuracy: 0.6758	test_loss: nan	
test_auc: 0.6692	test_accuracy: 0.6640	test_loss: nan	
test_auc: 0.6719	test_accuracy: 0.6611	test_loss: nan	
test_auc: 0.6822	test_accuracy: 0.6694	test_loss: nan	
test_auc: 0.6884	test_accuracy: 0.6715	test_loss: nan	
test_auc: 0.6786	test_accuracy: 0.6766	test_loss: nan	
test_auc: 0.6786	test_accuracy: 0.6642	test_loss: nan	
test_auc: 0.6679	test_accuracy: 0.6619	test_loss: nan	
test_auc: 0.6769	test_accuracy: 0.6563	test_loss: nan	
test_auc: 0.6785	test_accuracy: 0.6680	test_loss: nan	
test_auc: 0.6728	test_accuracy: 0.6639	test_loss: nan	
test_auc: 0.6708	test_accuracy: 0.6718	test_loss: nan	
test_auc: 0.6750	test_accuracy: 0.6741	test_loss: nan	
test_auc: 0.6695	test_accuracy: 0.6650	test_loss: nan	
test_auc: 0.6599	test_accuracy: 0.6466	test_loss: nan	
test_auc: 0.6778	test_accuracy: 0.6667	test_loss: nan	
test_auc: 0.6740	test_accuracy: 0.6601	test_loss: nan	
test_auc: 0.6645	test_accuracy: 0.6566	test_loss: nan	
test_auc: 0.6530	test_accuracy: 0.6582	test_loss: nan	
test_auc: 0.6513	test_accuracy: 0.6495	test_loss: nan	
test_auc: 0.6631	test_accuracy: 0.6577	test_loss: nan	
test_auc: 0.6700	test_accuracy: 0.6612	test_loss: nan	
test_auc: 0.6616	test_accuracy: 0.6588	test_loss: nan	
test_auc: 0.6559	test_accuracy: 0.6555	test_loss: nan	
test_auc: 0.6626	test_accuracy: 0.6557	test_loss: nan	
test_auc: 0.6441	test_accuracy: 0.6485	test_loss: nan	
test_auc: 0.6682	test_accuracy: 0.6599	test_loss: nan	
test_auc: 0.6578	test_accuracy: 0.6590	test_loss: nan	
test_auc: 0.6436	test_accuracy: 0.6525	test_loss: nan	
test_auc: 0.6435	test_accuracy: 0.6535	test_loss: nan	
test_auc: 0.6668	test_accuracy: 0.6667	test_loss: nan	
test_auc: 0.6557	test_accuracy: 0.6659	test_loss: nan	
test_auc: 0.6779	test_accuracy: 0.6728	test_loss: nan	
test_auc: 0.6654	test_accuracy: 0.6597	test_loss: nan	
test_auc: 0.6527	test_accuracy: 0.6503	test_loss: nan	
test_auc: 0.6368	test_accuracy: 0.6494	test_loss: nan	
test_auc: 0.6330	test_accuracy: 0.6477	test_loss: nan	
test_auc: 0.6413	test_accuracy: 0.6509	test_loss: nan	
test_auc: 0.6504	test_accuracy: 0.6569	test_loss: nan	
test_auc: 0.6216	test_accuracy: 0.6354	test_loss: nan	
Epoch 2/20, loss : 0.61735, auc : 0.67659, accuracy : 0.65047
Epoch 2/20, valid auc : 0.67562, valid accuracy : 0.64569
0.6720 to 0.6756
test_auc: 0.5465	test_accuracy: 0.5046	test_loss: 0.7499	
test_auc: 0.6750	test_accuracy: 0.6900	test_loss: 0.5968	
