Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-DKVMN', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.31766, auc : 0.92905, accuracy : 0.87362
Epoch 1/20, valid auc : 0.91338, valid accuracy : 0.84699
0.0000 to 0.9134
test_auc: 0.6188	test_accuracy: 0.5707	test_loss: 0.6848	
0test_auc: 0.8614	test_accuracy: 0.8296	test_loss: 0.4319	
1test_auc: 0.9017	test_accuracy: 0.8635	test_loss: 0.3602	
2test_auc: 0.9266	test_accuracy: 0.8821	test_loss: 0.3117	
3test_auc: 0.9301	test_accuracy: 0.8854	test_loss: 0.3034	
4test_auc: 0.9295	test_accuracy: 0.8816	test_loss: 0.3059	
5test_auc: 0.9290	test_accuracy: 0.8825	test_loss: 0.3054	
6test_auc: 0.9334	test_accuracy: 0.8843	test_loss: 0.2997	
7test_auc: 0.9338	test_accuracy: 0.8848	test_loss: 0.2969	
8test_auc: 0.9354	test_accuracy: 0.8848	test_loss: 0.2948	
9test_auc: 0.9331	test_accuracy: 0.8815	test_loss: nan	
10test_auc: 0.9311	test_accuracy: 0.8837	test_loss: nan	
11test_auc: 0.9326	test_accuracy: 0.8807	test_loss: nan	
12test_auc: 0.9313	test_accuracy: 0.8828	test_loss: nan	
13test_auc: 0.9355	test_accuracy: 0.8859	test_loss: nan	
14test_auc: 0.9340	test_accuracy: 0.8803	test_loss: nan	
15test_auc: 0.9347	test_accuracy: 0.8839	test_loss: nan	
16test_auc: 0.9326	test_accuracy: 0.8762	test_loss: nan	
17test_auc: 0.9323	test_accuracy: 0.8789	test_loss: nan	
18test_auc: 0.9342	test_accuracy: 0.8840	test_loss: nan	
19test_auc: 0.9331	test_accuracy: 0.8776	test_loss: nan	
20test_auc: 0.9331	test_accuracy: 0.8829	test_loss: nan	
21test_auc: 0.9318	test_accuracy: 0.8775	test_loss: nan	
22test_auc: 0.9362	test_accuracy: 0.8837	test_loss: nan	
23test_auc: 0.9358	test_accuracy: 0.8791	test_loss: nan	
24test_auc: 0.9325	test_accuracy: 0.8818	test_loss: nan	
25test_auc: 0.9321	test_accuracy: 0.8767	test_loss: nan	
26test_auc: 0.9298	test_accuracy: 0.8741	test_loss: nan	
27test_auc: 0.9304	test_accuracy: 0.8726	test_loss: nan	
28test_auc: 0.9319	test_accuracy: 0.8756	test_loss: nan	
29test_auc: 0.9290	test_accuracy: 0.8724	test_loss: nan	
30test_auc: 0.9327	test_accuracy: 0.8779	test_loss: nan	
31test_auc: 0.9263	test_accuracy: 0.8670	test_loss: nan	
32test_auc: 0.9334	test_accuracy: 0.8794	test_loss: nan	
33test_auc: 0.9290	test_accuracy: 0.8753	test_loss: nan	
34test_auc: 0.9224	test_accuracy: 0.8678	test_loss: nan	
35test_auc: 0.9263	test_accuracy: 0.8693	test_loss: nan	
36test_auc: 0.9226	test_accuracy: 0.8662	test_loss: nan	
37test_auc: 0.9346	test_accuracy: 0.8757	test_loss: nan	
38test_auc: 0.9310	test_accuracy: 0.8755	test_loss: nan	
39test_auc: 0.9318	test_accuracy: 0.8744	test_loss: nan	
40test_auc: 0.9298	test_accuracy: 0.8755	test_loss: nan	
41test_auc: 0.9331	test_accuracy: 0.8801	test_loss: nan	
42test_auc: 0.9307	test_accuracy: 0.8763	test_loss: nan	
43test_auc: 0.9284	test_accuracy: 0.8713	test_loss: nan	
44test_auc: 0.9290	test_accuracy: 0.8758	test_loss: nan	
45test_auc: 0.9283	test_accuracy: 0.8694	test_loss: nan	
46test_auc: 0.9327	test_accuracy: 0.8754	test_loss: nan	
47test_auc: 0.9226	test_accuracy: 0.8656	test_loss: nan	
48test_auc: 0.9262	test_accuracy: 0.8684	test_loss: nan	
49test_auc: 0.9320	test_accuracy: 0.8734	test_loss: nan	
50test_auc: 0.9302	test_accuracy: 0.8759	test_loss: nan	
51test_auc: 0.9304	test_accuracy: 0.8771	test_loss: nan	
52test_auc: 0.9313	test_accuracy: 0.8770	test_loss: nan	
53test_auc: 0.9323	test_accuracy: 0.8734	test_loss: nan	
54test_auc: 0.9283	test_accuracy: 0.8733	test_loss: nan	
55test_auc: 0.9335	test_accuracy: 0.8818	test_loss: nan	
56test_auc: 0.9212	test_accuracy: 0.8686	test_loss: nan	
57test_auc: 0.9342	test_accuracy: 0.8809	test_loss: nan	
58test_auc: 0.9355	test_accuracy: 0.8752	test_loss: nan	
59test_auc: 0.9310	test_accuracy: 0.8712	test_loss: nan	
60test_auc: 0.9329	test_accuracy: 0.8766	test_loss: nan	
61test_auc: 0.9297	test_accuracy: 0.8746	test_loss: nan	
62test_auc: 0.9275	test_accuracy: 0.8703	test_loss: nan	
63test_auc: 0.9331	test_accuracy: 0.8751	test_loss: nan	
64test_auc: 0.9373	test_accuracy: 0.8832	test_loss: nan	
65test_auc: 0.9258	test_accuracy: 0.8680	test_loss: nan	
66test_auc: 0.9270	test_accuracy: 0.8696	test_loss: nan	
67test_auc: 0.9289	test_accuracy: 0.8715	test_loss: nan	
68test_auc: 0.9324	test_accuracy: 0.8701	test_loss: nan	
69test_auc: 0.9257	test_accuracy: 0.8713	test_loss: nan	
70test_auc: 0.9299	test_accuracy: 0.8670	test_loss: nan	
71test_auc: 0.9314	test_accuracy: 0.8691	test_loss: nan	
72test_auc: 0.9352	test_accuracy: 0.8837	test_loss: nan	
