Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='DKVMN', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.60979, auc : 0.65674, accuracy : 0.67542
Epoch 1/20, valid auc : 0.70638, valid accuracy : 0.69940
0.0000 to 0.7064
test_auc: 0.6306	test_accuracy: 0.5890	test_loss: 0.6655	
test_auc: 0.6469	test_accuracy: 0.6194	test_loss: 0.6420	
test_auc: 0.6437	test_accuracy: 0.6756	test_loss: 0.6163	
test_auc: 0.6401	test_accuracy: 0.6603	test_loss: 0.6123	
test_auc: 0.6445	test_accuracy: 0.6781	test_loss: 0.6015	
test_auc: 0.6622	test_accuracy: 0.6859	test_loss: 0.6037	
test_auc: 0.6813	test_accuracy: 0.6950	test_loss: 0.6013	
test_auc: 0.6651	test_accuracy: 0.6872	test_loss: 0.6036	
test_auc: 0.7057	test_accuracy: 0.6784	test_loss: 0.6001	
test_auc: 0.6946	test_accuracy: 0.6773	test_loss: 0.6041	
test_auc: 0.7136	test_accuracy: 0.7064	test_loss: 0.5935	
test_auc: 0.6900	test_accuracy: 0.6812	test_loss: 0.5971	
test_auc: 0.7212	test_accuracy: 0.7037	test_loss: 0.5790	
test_auc: 0.7004	test_accuracy: 0.7002	test_loss: 0.5978	
test_auc: 0.7354	test_accuracy: 0.7146	test_loss: 0.5866	
test_auc: 0.7212	test_accuracy: 0.6836	test_loss: 0.6009	
test_auc: 0.7034	test_accuracy: 0.6865	test_loss: 0.6121	
test_auc: 0.7080	test_accuracy: 0.6851	test_loss: 0.6078	
test_auc: 0.7331	test_accuracy: 0.6879	test_loss: 0.5951	
test_auc: 0.6801	test_accuracy: 0.6623	test_loss: 0.6354	
test_auc: 0.7216	test_accuracy: 0.7039	test_loss: nan	
test_auc: 0.6933	test_accuracy: 0.6841	test_loss: nan	
test_auc: 0.7066	test_accuracy: 0.6928	test_loss: nan	
test_auc: 0.7097	test_accuracy: 0.6875	test_loss: nan	
test_auc: 0.7406	test_accuracy: 0.7228	test_loss: nan	
test_auc: 0.7102	test_accuracy: 0.6890	test_loss: nan	
test_auc: 0.7157	test_accuracy: 0.7044	test_loss: nan	
test_auc: 0.6806	test_accuracy: 0.6650	test_loss: nan	
test_auc: 0.7362	test_accuracy: 0.7197	test_loss: nan	
test_auc: 0.7324	test_accuracy: 0.7111	test_loss: nan	
test_auc: 0.6890	test_accuracy: 0.6820	test_loss: nan	
test_auc: 0.7030	test_accuracy: 0.7021	test_loss: nan	
test_auc: 0.6983	test_accuracy: 0.7131	test_loss: nan	
test_auc: 0.7266	test_accuracy: 0.7321	test_loss: nan	
test_auc: 0.7157	test_accuracy: 0.7180	test_loss: nan	
test_auc: 0.7185	test_accuracy: 0.6990	test_loss: nan	
test_auc: 0.7201	test_accuracy: 0.7162	test_loss: nan	
test_auc: 0.7328	test_accuracy: 0.7294	test_loss: nan	
test_auc: 0.7040	test_accuracy: 0.6964	test_loss: nan	
test_auc: 0.6913	test_accuracy: 0.6988	test_loss: nan	
test_auc: 0.7138	test_accuracy: 0.7076	test_loss: nan	
test_auc: 0.7301	test_accuracy: 0.7241	test_loss: nan	
test_auc: 0.7313	test_accuracy: 0.7234	test_loss: nan	
test_auc: 0.7181	test_accuracy: 0.6957	test_loss: nan	
test_auc: 0.7458	test_accuracy: 0.7105	test_loss: nan	
test_auc: 0.6986	test_accuracy: 0.7110	test_loss: nan	
test_auc: 0.6914	test_accuracy: 0.6599	test_loss: nan	
test_auc: 0.7007	test_accuracy: 0.6942	test_loss: nan	
test_auc: 0.6846	test_accuracy: 0.6839	test_loss: nan	
test_auc: 0.7348	test_accuracy: 0.7238	test_loss: nan	
test_auc: 0.7304	test_accuracy: 0.7039	test_loss: nan	
test_auc: 0.7201	test_accuracy: 0.7117	test_loss: nan	
test_auc: 0.7073	test_accuracy: 0.7202	test_loss: nan	
test_auc: 0.7469	test_accuracy: 0.7436	test_loss: nan	
test_auc: 0.7284	test_accuracy: 0.7243	test_loss: nan	
test_auc: 0.6830	test_accuracy: 0.6926	test_loss: nan	
test_auc: 0.7100	test_accuracy: 0.7028	test_loss: nan	
test_auc: 0.7225	test_accuracy: 0.7242	test_loss: nan	
test_auc: 0.6996	test_accuracy: 0.7116	test_loss: nan	
test_auc: 0.7258	test_accuracy: 0.7276	test_loss: nan	
test_auc: 0.7570	test_accuracy: 0.7303	test_loss: nan	
test_auc: 0.7121	test_accuracy: 0.7165	test_loss: nan	
test_auc: 0.6999	test_accuracy: 0.6738	test_loss: nan	
test_auc: 0.6896	test_accuracy: 0.6908	test_loss: nan	
test_auc: 0.6958	test_accuracy: 0.6955	test_loss: nan	
test_auc: 0.6699	test_accuracy: 0.6970	test_loss: nan	
test_auc: 0.6696	test_accuracy: 0.6946	test_loss: nan	
test_auc: 0.7034	test_accuracy: 0.7117	test_loss: nan	
test_auc: 0.7083	test_accuracy: 0.7157	test_loss: nan	
test_auc: 0.7004	test_accuracy: 0.7186	test_loss: nan	
test_auc: 0.6951	test_accuracy: 0.7020	test_loss: nan	
test_auc: 0.6696	test_accuracy: 0.6810	test_loss: nan	
test_auc: 0.6760	test_accuracy: 0.7058	test_loss: nan	
test_auc: 0.7315	test_accuracy: 0.7329	test_loss: nan	
test_auc: 0.7096	test_accuracy: 0.7035	test_loss: nan	
test_auc: 0.7207	test_accuracy: 0.6981	test_loss: nan	
test_auc: 0.7272	test_accuracy: 0.7170	test_loss: nan	
test_auc: 0.6786	test_accuracy: 0.7032	test_loss: nan	
test_auc: 0.6980	test_accuracy: 0.7004	test_loss: nan	
test_auc: 0.7171	test_accuracy: 0.6882	test_loss: nan	
test_auc: 0.7034	test_accuracy: 0.7121	test_loss: nan	
test_auc: 0.7037	test_accuracy: 0.6920	test_loss: nan	
test_auc: 0.6885	test_accuracy: 0.6857	test_loss: nan	
test_auc: 0.6962	test_accuracy: 0.7171	test_loss: nan	
test_auc: 0.6673	test_accuracy: 0.7111	test_loss: nan	
test_auc: 0.6609	test_accuracy: 0.6787	test_loss: nan	
test_auc: 0.6893	test_accuracy: 0.7025	test_loss: nan	
test_auc: 0.6678	test_accuracy: 0.6982	test_loss: nan	
test_auc: 0.6547	test_accuracy: 0.6928	test_loss: nan	
test_auc: 0.6667	test_accuracy: 0.6893	test_loss: nan	
test_auc: 0.6791	test_accuracy: 0.6721	test_loss: nan	
test_auc: 0.6950	test_accuracy: 0.7217	test_loss: nan	
test_auc: 0.7070	test_accuracy: 0.6983	test_loss: nan	
test_auc: 0.7201	test_accuracy: 0.7218	test_loss: nan	
test_auc: 0.7379	test_accuracy: 0.7029	test_loss: nan	
test_auc: 0.7137	test_accuracy: 0.7129	test_loss: nan	
test_auc: 0.6801	test_accuracy: 0.7195	test_loss: nan	
test_auc: 0.7040	test_accuracy: 0.6840	test_loss: nan	
test_auc: 0.6785	test_accuracy: 0.6824	test_loss: nan	
test_auc: 0.7026	test_accuracy: 0.6850	test_loss: nan	
test_auc: 0.7175	test_accuracy: 0.7085	test_loss: nan	
test_auc: 0.6791	test_accuracy: 0.6784	test_loss: nan	
test_auc: 0.6982	test_accuracy: 0.6717	test_loss: nan	
test_auc: 0.6907	test_accuracy: 0.7013	test_loss: nan	
test_auc: 0.6896	test_accuracy: 0.6752	test_loss: nan	
test_auc: 0.6910	test_accuracy: 0.7088	test_loss: nan	
test_auc: 0.6649	test_accuracy: 0.6987	test_loss: nan	
test_auc: 0.6712	test_accuracy: 0.7057	test_loss: nan	
test_auc: 0.6768	test_accuracy: 0.6832	test_loss: nan	
test_auc: 0.6543	test_accuracy: 0.6693	test_loss: nan	
test_auc: 0.6938	test_accuracy: 0.7071	test_loss: nan	
test_auc: 0.6597	test_accuracy: 0.7003	test_loss: nan	
test_auc: 0.7238	test_accuracy: 0.7520	test_loss: nan	
test_auc: 0.7232	test_accuracy: 0.7032	test_loss: nan	
test_auc: 0.7067	test_accuracy: 0.6855	test_loss: nan	
test_auc: 0.6694	test_accuracy: 0.6962	test_loss: nan	
test_auc: 0.7285	test_accuracy: 0.7193	test_loss: nan	
test_auc: 0.6869	test_accuracy: 0.7104	test_loss: nan	
test_auc: 0.7231	test_accuracy: 0.7390	test_loss: nan	
test_auc: 0.7410	test_accuracy: 0.7376	test_loss: nan	
test_auc: 0.6926	test_accuracy: 0.7396	test_loss: nan	
test_auc: 0.6832	test_accuracy: 0.7056	test_loss: nan	
test_auc: 0.7324	test_accuracy: 0.7278	test_loss: nan	
test_auc: 0.7378	test_accuracy: 0.7199	test_loss: nan	
test_auc: 0.6833	test_accuracy: 0.6713	test_loss: nan	
test_auc: 0.6987	test_accuracy: 0.7079	test_loss: nan	
test_auc: 0.7389	test_accuracy: 0.7472	test_loss: nan	
test_auc: 0.6926	test_accuracy: 0.7017	test_loss: nan	
test_auc: 0.7452	test_accuracy: 0.7236	test_loss: nan	
test_auc: 0.7497	test_accuracy: 0.7143	test_loss: nan	
test_auc: 0.6960	test_accuracy: 0.7057	test_loss: nan	
test_auc: 0.6771	test_accuracy: 0.6810	test_loss: nan	
test_auc: 0.6847	test_accuracy: 0.6897	test_loss: nan	
test_auc: 0.6787	test_accuracy: 0.7081	test_loss: nan	
test_auc: 0.7083	test_accuracy: 0.7180	test_loss: nan	
test_auc: 0.7431	test_accuracy: 0.7573	test_loss: nan	
test_auc: 0.6907	test_accuracy: 0.6941	test_loss: nan	
test_auc: 0.6605	test_accuracy: 0.7012	test_loss: nan	
test_auc: 0.6469	test_accuracy: 0.6935	test_loss: nan	
test_auc: 0.6986	test_accuracy: 0.7134	test_loss: nan	
test_auc: 0.6618	test_accuracy: 0.6928	test_loss: nan	
