Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-DKVMN', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.47547, auc : 0.81578, accuracy : 0.76503
Epoch 1/20, valid auc : 0.87682, valid accuracy : 0.80841
0.0000 to 0.8768
test_auc: 0.6075	test_accuracy: 0.5346	test_loss: 0.6936	
0test_auc: 0.8117	test_accuracy: 0.7451	test_loss: 0.5210	
1test_auc: 0.8303	test_accuracy: 0.7751	test_loss: 0.4628	
2test_auc: 0.8978	test_accuracy: 0.8423	test_loss: 0.3627	
3test_auc: 0.8779	test_accuracy: 0.8249	test_loss: 0.4003	
4test_auc: 0.8884	test_accuracy: 0.8285	test_loss: 0.3823	
5test_auc: 0.8670	test_accuracy: 0.8030	test_loss: 0.4239	
6test_auc: 0.8916	test_accuracy: 0.8286	test_loss: 0.3730	
7test_auc: 0.8578	test_accuracy: 0.7935	test_loss: 0.4309	
8test_auc: 0.9164	test_accuracy: 0.8477	test_loss: 0.3470	
9test_auc: 0.8632	test_accuracy: 0.7963	test_loss: 0.4235	
10test_auc: 0.8636	test_accuracy: 0.8038	test_loss: 0.4201	
11test_auc: 0.8699	test_accuracy: 0.8053	test_loss: 0.4025	
12test_auc: 0.8879	test_accuracy: 0.8238	test_loss: 0.3840	
13test_auc: 0.8937	test_accuracy: 0.8182	test_loss: 0.4018	
14test_auc: 0.8833	test_accuracy: 0.8034	test_loss: 0.4091	
15test_auc: 0.8760	test_accuracy: 0.7961	test_loss: 0.4328	
16test_auc: 0.8953	test_accuracy: 0.8175	test_loss: 0.3745	
17test_auc: 0.8747	test_accuracy: 0.7941	test_loss: 0.4241	
18test_auc: 0.8793	test_accuracy: 0.7985	test_loss: 0.4496	
