Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-LSTMA', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.31974, auc : 0.92772, accuracy : 0.87343
Epoch 1/20, valid auc : 0.91194, valid accuracy : 0.84700
0.0000 to 0.9119
test_auc: 0.6138	test_accuracy: 0.5758	test_loss: 0.6869	
0test_auc: 0.8405	test_accuracy: 0.8115	test_loss: 0.4597	
1test_auc: 0.8923	test_accuracy: 0.8595	test_loss: 0.3686	
2test_auc: 0.9143	test_accuracy: 0.8756	test_loss: 0.3287	
3test_auc: 0.9195	test_accuracy: 0.8801	test_loss: 0.3196	
4test_auc: 0.9196	test_accuracy: 0.8766	test_loss: 0.3213	
5test_auc: 0.9219	test_accuracy: 0.8791	test_loss: 0.3159	
6test_auc: 0.9265	test_accuracy: 0.8806	test_loss: 0.3106	
7test_auc: 0.9253	test_accuracy: 0.8818	test_loss: 0.3112	
8test_auc: 0.9279	test_accuracy: 0.8805	test_loss: 0.3112	
9test_auc: 0.9267	test_accuracy: 0.8768	test_loss: nan	
10test_auc: 0.9247	test_accuracy: 0.8785	test_loss: nan	
11test_auc: 0.9281	test_accuracy: 0.8757	test_loss: nan	
12test_auc: 0.9263	test_accuracy: 0.8796	test_loss: nan	
13test_auc: 0.9309	test_accuracy: 0.8834	test_loss: nan	
14test_auc: 0.9297	test_accuracy: 0.8788	test_loss: nan	
15test_auc: 0.9288	test_accuracy: 0.8791	test_loss: nan	
16test_auc: 0.9288	test_accuracy: 0.8752	test_loss: nan	
17test_auc: 0.9268	test_accuracy: 0.8763	test_loss: nan	
18test_auc: 0.9284	test_accuracy: 0.8825	test_loss: nan	
19test_auc: 0.9298	test_accuracy: 0.8796	test_loss: nan	
20test_auc: 0.9295	test_accuracy: 0.8811	test_loss: nan	
21test_auc: 0.9282	test_accuracy: 0.8766	test_loss: nan	
22test_auc: 0.9330	test_accuracy: 0.8817	test_loss: nan	
23test_auc: 0.9324	test_accuracy: 0.8789	test_loss: nan	
24test_auc: 0.9286	test_accuracy: 0.8813	test_loss: nan	
25test_auc: 0.9302	test_accuracy: 0.8787	test_loss: nan	
26test_auc: 0.9253	test_accuracy: 0.8727	test_loss: nan	
27test_auc: 0.9274	test_accuracy: 0.8727	test_loss: nan	
28test_auc: 0.9293	test_accuracy: 0.8785	test_loss: nan	
29test_auc: 0.9262	test_accuracy: 0.8767	test_loss: nan	
30test_auc: 0.9290	test_accuracy: 0.8789	test_loss: nan	
31test_auc: 0.9235	test_accuracy: 0.8705	test_loss: nan	
32test_auc: 0.9317	test_accuracy: 0.8807	test_loss: nan	
33test_auc: 0.9252	test_accuracy: 0.8759	test_loss: nan	
34test_auc: 0.9204	test_accuracy: 0.8702	test_loss: nan	
35test_auc: 0.9225	test_accuracy: 0.8692	test_loss: nan	
36test_auc: 0.9180	test_accuracy: 0.8697	test_loss: nan	
37test_auc: 0.9308	test_accuracy: 0.8814	test_loss: nan	
38test_auc: 0.9273	test_accuracy: 0.8776	test_loss: nan	
39test_auc: 0.9269	test_accuracy: 0.8729	test_loss: nan	
40test_auc: 0.9253	test_accuracy: 0.8780	test_loss: nan	
41test_auc: 0.9288	test_accuracy: 0.8847	test_loss: nan	
42test_auc: 0.9302	test_accuracy: 0.8814	test_loss: nan	
43test_auc: 0.9255	test_accuracy: 0.8753	test_loss: nan	
44test_auc: 0.9262	test_accuracy: 0.8802	test_loss: nan	
45test_auc: 0.9247	test_accuracy: 0.8750	test_loss: nan	
46test_auc: 0.9306	test_accuracy: 0.8822	test_loss: nan	
47test_auc: 0.9208	test_accuracy: 0.8697	test_loss: nan	
48test_auc: 0.9219	test_accuracy: 0.8681	test_loss: nan	
49test_auc: 0.9281	test_accuracy: 0.8775	test_loss: nan	
50test_auc: 0.9274	test_accuracy: 0.8794	test_loss: nan	
51test_auc: 0.9261	test_accuracy: 0.8811	test_loss: nan	
52test_auc: 0.9279	test_accuracy: 0.8811	test_loss: nan	
53test_auc: 0.9320	test_accuracy: 0.8822	test_loss: nan	
54test_auc: 0.9240	test_accuracy: 0.8749	test_loss: nan	
55test_auc: 0.9309	test_accuracy: 0.8873	test_loss: nan	
56test_auc: 0.9170	test_accuracy: 0.8717	test_loss: nan	
57test_auc: 0.9310	test_accuracy: 0.8836	test_loss: nan	
58test_auc: 0.9306	test_accuracy: 0.8817	test_loss: nan	
59test_auc: 0.9275	test_accuracy: 0.8771	test_loss: nan	
60test_auc: 0.9298	test_accuracy: 0.8791	test_loss: nan	
61test_auc: 0.9279	test_accuracy: 0.8791	test_loss: nan	
62test_auc: 0.9250	test_accuracy: 0.8784	test_loss: nan	
63test_auc: 0.9316	test_accuracy: 0.8809	test_loss: nan	
64test_auc: 0.9328	test_accuracy: 0.8847	test_loss: nan	
65test_auc: 0.9235	test_accuracy: 0.8734	test_loss: nan	
66test_auc: 0.9232	test_accuracy: 0.8752	test_loss: nan	
67test_auc: 0.9279	test_accuracy: 0.8832	test_loss: nan	
68test_auc: 0.9304	test_accuracy: 0.8766	test_loss: nan	
69test_auc: 0.9233	test_accuracy: 0.8805	test_loss: nan	
70test_auc: 0.9255	test_accuracy: 0.8760	test_loss: nan	
71test_auc: 0.9279	test_accuracy: 0.8796	test_loss: nan	
72test_auc: 0.9316	test_accuracy: 0.8892	test_loss: nan	
73test_auc: 0.9362	test_accuracy: 0.8874	test_loss: nan	
74test_auc: 0.9314	test_accuracy: 0.8851	test_loss: nan	
75test_auc: 0.9349	test_accuracy: 0.8873	test_loss: nan	
76test_auc: 0.9304	test_accuracy: 0.8769	test_loss: nan	
77test_auc: 0.9286	test_accuracy: 0.8800	test_loss: nan	
78test_auc: 0.9264	test_accuracy: 0.8819	test_loss: nan	
79test_auc: 0.9258	test_accuracy: 0.8817	test_loss: nan	
80test_auc: 0.9269	test_accuracy: 0.8817	test_loss: nan	
81test_auc: 0.9247	test_accuracy: 0.8819	test_loss: nan	
