Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=2, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='LSTMA', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=1e-05)Epoch 1/20, loss : 0.56354, auc : 0.74759, accuracy : 0.70508
Epoch 1/20, valid auc : 0.80942, valid accuracy : 0.75487
0.0000 to 0.8094
test_auc: 0.5946	test_accuracy: 0.5716	test_loss: 0.7486	
test_auc: 0.7964	test_accuracy: 0.7677	test_loss: 0.5039	
test_auc: 0.8283	test_accuracy: 0.7947	test_loss: 0.4632	
test_auc: 0.8395	test_accuracy: 0.8015	test_loss: 0.4478	
test_auc: 0.8402	test_accuracy: 0.8075	test_loss: 0.4454	
test_auc: 0.8417	test_accuracy: 0.8044	test_loss: 0.4415	
test_auc: 0.8441	test_accuracy: 0.8078	test_loss: 0.4416	
test_auc: 0.8490	test_accuracy: 0.8074	test_loss: 0.4385	
test_auc: 0.8438	test_accuracy: 0.8080	test_loss: 0.4393	
test_auc: 0.8470	test_accuracy: 0.8039	test_loss: 0.4400	
test_auc: 0.8485	test_accuracy: 0.8079	test_loss: nan	
test_auc: 0.8441	test_accuracy: 0.7984	test_loss: nan	
test_auc: 0.8456	test_accuracy: 0.8017	test_loss: nan	
test_auc: 0.8449	test_accuracy: 0.7993	test_loss: nan	
test_auc: 0.8460	test_accuracy: 0.7987	test_loss: nan	
test_auc: 0.8496	test_accuracy: 0.8022	test_loss: nan	
test_auc: 0.8459	test_accuracy: 0.8015	test_loss: nan	
test_auc: 0.8510	test_accuracy: 0.7999	test_loss: nan	
test_auc: 0.8405	test_accuracy: 0.7905	test_loss: nan	
test_auc: 0.8461	test_accuracy: 0.7980	test_loss: nan	
test_auc: 0.8470	test_accuracy: 0.7964	test_loss: nan	
test_auc: 0.8487	test_accuracy: 0.8022	test_loss: nan	
test_auc: 0.8491	test_accuracy: 0.7998	test_loss: nan	
test_auc: 0.8423	test_accuracy: 0.7942	test_loss: nan	
test_auc: 0.8431	test_accuracy: 0.7920	test_loss: nan	
test_auc: 0.8559	test_accuracy: 0.8002	test_loss: nan	
test_auc: 0.8473	test_accuracy: 0.7948	test_loss: nan	
test_auc: 0.8432	test_accuracy: 0.7905	test_loss: nan	
test_auc: 0.8476	test_accuracy: 0.7954	test_loss: nan	
test_auc: 0.8501	test_accuracy: 0.8003	test_loss: nan	
test_auc: 0.8396	test_accuracy: 0.7880	test_loss: nan	
test_auc: 0.8395	test_accuracy: 0.7907	test_loss: nan	
test_auc: 0.8414	test_accuracy: 0.7936	test_loss: nan	
test_auc: 0.8505	test_accuracy: 0.7975	test_loss: nan	
test_auc: 0.8455	test_accuracy: 0.7959	test_loss: nan	
test_auc: 0.8436	test_accuracy: 0.7892	test_loss: nan	
test_auc: 0.8350	test_accuracy: 0.7804	test_loss: nan	
test_auc: 0.8390	test_accuracy: 0.7885	test_loss: nan	
test_auc: 0.8445	test_accuracy: 0.7897	test_loss: nan	
test_auc: 0.8375	test_accuracy: 0.7838	test_loss: nan	
test_auc: 0.8436	test_accuracy: 0.7868	test_loss: nan	
test_auc: 0.8349	test_accuracy: 0.7858	test_loss: nan	
test_auc: 0.8346	test_accuracy: 0.7879	test_loss: nan	
test_auc: 0.8438	test_accuracy: 0.7907	test_loss: nan	
test_auc: 0.8382	test_accuracy: 0.7941	test_loss: nan	
test_auc: 0.8442	test_accuracy: 0.7984	test_loss: nan	
test_auc: 0.8287	test_accuracy: 0.7837	test_loss: nan	
test_auc: 0.8376	test_accuracy: 0.7927	test_loss: nan	
test_auc: 0.8288	test_accuracy: 0.7835	test_loss: nan	
test_auc: 0.8367	test_accuracy: 0.7930	test_loss: nan	
test_auc: 0.8376	test_accuracy: 0.7927	test_loss: nan	
test_auc: 0.8431	test_accuracy: 0.7910	test_loss: nan	
test_auc: 0.8313	test_accuracy: 0.7837	test_loss: nan	
test_auc: 0.8395	test_accuracy: 0.7934	test_loss: nan	
test_auc: 0.8398	test_accuracy: 0.8002	test_loss: nan	
test_auc: 0.8419	test_accuracy: 0.7926	test_loss: nan	
test_auc: 0.8388	test_accuracy: 0.7870	test_loss: nan	
test_auc: 0.8353	test_accuracy: 0.7877	test_loss: nan	
test_auc: 0.8470	test_accuracy: 0.7992	test_loss: nan	
test_auc: 0.8413	test_accuracy: 0.7943	test_loss: nan	
test_auc: 0.8284	test_accuracy: 0.7903	test_loss: nan	
test_auc: 0.8307	test_accuracy: 0.7920	test_loss: nan	
test_auc: 0.8362	test_accuracy: 0.7897	test_loss: nan	
test_auc: 0.8359	test_accuracy: 0.7853	test_loss: nan	
test_auc: 0.8415	test_accuracy: 0.7957	test_loss: nan	
test_auc: 0.8317	test_accuracy: 0.7909	test_loss: nan	
test_auc: 0.8427	test_accuracy: 0.7918	test_loss: nan	
