Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=2, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-LSTMA', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.47540, auc : 0.77508, accuracy : 0.77534
Epoch 1/20, valid auc : 0.79584, valid accuracy : 0.79179
0.0000 to 0.7958
test_auc: 0.6817	test_accuracy: 0.6647	test_loss: 0.6158	
0test_auc: 0.6931	test_accuracy: 0.7218	test_loss: 0.5680	
1test_auc: 0.8882	test_accuracy: 0.8662	test_loss: 0.3325	
2test_auc: 0.7890	test_accuracy: 0.7866	test_loss: 0.4595	
3test_auc: 0.7859	test_accuracy: 0.8019	test_loss: 0.4423	
4test_auc: 0.8441	test_accuracy: 0.8325	test_loss: 0.3813	
5test_auc: 0.7920	test_accuracy: 0.7969	test_loss: 0.4427	
6test_auc: 0.8145	test_accuracy: 0.8057	test_loss: 0.4252	
7test_auc: 0.8253	test_accuracy: 0.8272	test_loss: 0.3945	
8test_auc: 0.7959	test_accuracy: 0.8027	test_loss: 0.4375	
9test_auc: 0.8057	test_accuracy: 0.8033	test_loss: 0.4270	
10test_auc: 0.8130	test_accuracy: 0.8186	test_loss: 0.4068	
11test_auc: 0.7978	test_accuracy: 0.8017	test_loss: 0.4358	
12test_auc: 0.7950	test_accuracy: 0.7956	test_loss: 0.4403	
13test_auc: 0.8111	test_accuracy: 0.8030	test_loss: 0.4360	
14test_auc: 0.8011	test_accuracy: 0.8008	test_loss: nan	
15test_auc: 0.7833	test_accuracy: 0.7977	test_loss: nan	
16test_auc: 0.7940	test_accuracy: 0.7975	test_loss: nan	
17test_auc: 0.8009	test_accuracy: 0.7958	test_loss: nan	
18test_auc: 0.8106	test_accuracy: 0.8013	test_loss: nan	
19test_auc: 0.8138	test_accuracy: 0.7982	test_loss: nan	
20test_auc: 0.7984	test_accuracy: 0.7942	test_loss: nan	
21test_auc: 0.7862	test_accuracy: 0.7938	test_loss: nan	
22test_auc: 0.8089	test_accuracy: 0.8012	test_loss: nan	
23test_auc: 0.7948	test_accuracy: 0.7911	test_loss: nan	
24test_auc: 0.8001	test_accuracy: 0.7949	test_loss: nan	
25test_auc: 0.7959	test_accuracy: 0.7873	test_loss: nan	
26test_auc: 0.8092	test_accuracy: 0.7997	test_loss: nan	
27test_auc: 0.8032	test_accuracy: 0.7927	test_loss: nan	
28test_auc: 0.7872	test_accuracy: 0.7941	test_loss: nan	
29test_auc: 0.7957	test_accuracy: 0.7972	test_loss: nan	
30test_auc: 0.8092	test_accuracy: 0.7840	test_loss: nan	
31test_auc: 0.8102	test_accuracy: 0.7866	test_loss: nan	
32test_auc: 0.8093	test_accuracy: 0.7901	test_loss: nan	
33test_auc: 0.7869	test_accuracy: 0.7764	test_loss: nan	
34test_auc: 0.8073	test_accuracy: 0.7842	test_loss: nan	
35test_auc: 0.7999	test_accuracy: 0.7896	test_loss: nan	
36test_auc: 0.7926	test_accuracy: 0.7818	test_loss: nan	
37test_auc: 0.8073	test_accuracy: 0.7934	test_loss: nan	
38test_auc: 0.8024	test_accuracy: 0.7849	test_loss: nan	
39test_auc: 0.8062	test_accuracy: 0.7885	test_loss: nan	
40test_auc: 0.7896	test_accuracy: 0.7774	test_loss: nan	
41test_auc: 0.7830	test_accuracy: 0.7690	test_loss: nan	
42test_auc: 0.8026	test_accuracy: 0.7861	test_loss: nan	
43test_auc: 0.8057	test_accuracy: 0.7921	test_loss: nan	
44test_auc: 0.8194	test_accuracy: 0.7897	test_loss: nan	
45test_auc: 0.7969	test_accuracy: 0.7702	test_loss: nan	
46test_auc: 0.7963	test_accuracy: 0.7789	test_loss: nan	
47test_auc: 0.7804	test_accuracy: 0.7770	test_loss: nan	
48test_auc: 0.7978	test_accuracy: 0.7836	test_loss: nan	
49test_auc: 0.7890	test_accuracy: 0.7821	test_loss: nan	
50test_auc: 0.7921	test_accuracy: 0.7886	test_loss: nan	
51test_auc: 0.7887	test_accuracy: 0.7684	test_loss: nan	
52test_auc: 0.8059	test_accuracy: 0.7905	test_loss: nan	
53test_auc: 0.7826	test_accuracy: 0.7862	test_loss: nan	
54test_auc: 0.8029	test_accuracy: 0.8092	test_loss: nan	
