Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='LSTMA', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.55991, auc : 0.63561, accuracy : 0.73116
Epoch 1/20, valid auc : 0.65825, valid accuracy : 0.74014
0.0000 to 0.6583
test_auc: 0.6788	test_accuracy: 0.6566	test_loss: 0.6132	
test_auc: 0.6750	test_accuracy: 0.7236	test_loss: 0.5530	
test_auc: 0.6940	test_accuracy: 0.7762	test_loss: 0.4951	
test_auc: 0.6459	test_accuracy: 0.7298	test_loss: 0.5589	
test_auc: 0.6503	test_accuracy: 0.7565	test_loss: 0.5310	
test_auc: 0.6580	test_accuracy: 0.7699	test_loss: 0.5125	
test_auc: 0.6553	test_accuracy: 0.7468	test_loss: 0.5374	
test_auc: 0.6666	test_accuracy: 0.7516	test_loss: 0.5289	
test_auc: 0.6664	test_accuracy: 0.7688	test_loss: 0.5090	
test_auc: 0.6625	test_accuracy: 0.7453	test_loss: 0.5326	
test_auc: 0.6812	test_accuracy: 0.7505	test_loss: 0.5215	
test_auc: 0.6800	test_accuracy: 0.7639	test_loss: 0.5103	
test_auc: 0.6715	test_accuracy: 0.7431	test_loss: 0.5303	
test_auc: 0.6572	test_accuracy: 0.7422	test_loss: 0.5413	
test_auc: 0.6676	test_accuracy: 0.7492	test_loss: 0.5300	
test_auc: 0.6658	test_accuracy: 0.7450	test_loss: nan	
test_auc: 0.6521	test_accuracy: 0.7464	test_loss: nan	
test_auc: 0.6651	test_accuracy: 0.7471	test_loss: nan	
test_auc: 0.6879	test_accuracy: 0.7400	test_loss: nan	
test_auc: 0.6708	test_accuracy: 0.7401	test_loss: nan	
test_auc: 0.6702	test_accuracy: 0.7407	test_loss: nan	
test_auc: 0.6547	test_accuracy: 0.7511	test_loss: nan	
test_auc: 0.6641	test_accuracy: 0.7432	test_loss: nan	
test_auc: 0.6716	test_accuracy: 0.7510	test_loss: nan	
test_auc: 0.6590	test_accuracy: 0.7415	test_loss: nan	
test_auc: 0.6667	test_accuracy: 0.7397	test_loss: nan	
test_auc: 0.6656	test_accuracy: 0.7305	test_loss: nan	
test_auc: 0.6756	test_accuracy: 0.7337	test_loss: nan	
test_auc: 0.6661	test_accuracy: 0.7339	test_loss: nan	
test_auc: 0.6526	test_accuracy: 0.7557	test_loss: nan	
test_auc: 0.6459	test_accuracy: 0.7501	test_loss: nan	
