Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=2, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-RKT', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.31164, auc : 0.93205, accuracy : 0.87545
Epoch 1/20, valid auc : 0.91931, valid accuracy : 0.85434
0.0000 to 0.9193
test_auc: 0.6132	test_accuracy: 0.5383	test_loss: 0.6990	
0test_auc: 0.8482	test_accuracy: 0.8159	test_loss: 0.4483	
1test_auc: 0.9029	test_accuracy: 0.8620	test_loss: 0.3541	
2test_auc: 0.9234	test_accuracy: 0.8785	test_loss: 0.3158	
3test_auc: 0.9278	test_accuracy: 0.8833	test_loss: 0.3067	
4test_auc: 0.9278	test_accuracy: 0.8792	test_loss: 0.3083	
5test_auc: 0.9293	test_accuracy: 0.8818	test_loss: 0.3040	
6test_auc: 0.9335	test_accuracy: 0.8854	test_loss: 0.2987	
7test_auc: 0.9333	test_accuracy: 0.8851	test_loss: 0.2988	
8test_auc: 0.9335	test_accuracy: 0.8837	test_loss: 0.3009	
9test_auc: 0.9333	test_accuracy: 0.8800	test_loss: nan	
10test_auc: 0.9308	test_accuracy: 0.8804	test_loss: nan	
11test_auc: 0.9340	test_accuracy: 0.8790	test_loss: nan	
12test_auc: 0.9326	test_accuracy: 0.8823	test_loss: nan	
13test_auc: 0.9360	test_accuracy: 0.8857	test_loss: nan	
14test_auc: 0.9360	test_accuracy: 0.8821	test_loss: nan	
15test_auc: 0.9349	test_accuracy: 0.8833	test_loss: nan	
16test_auc: 0.9358	test_accuracy: 0.8803	test_loss: nan	
17test_auc: 0.9331	test_accuracy: 0.8825	test_loss: nan	
18test_auc: 0.9359	test_accuracy: 0.8866	test_loss: nan	
19test_auc: 0.9339	test_accuracy: 0.8822	test_loss: nan	
20test_auc: 0.9362	test_accuracy: 0.8855	test_loss: nan	
21test_auc: 0.9340	test_accuracy: 0.8796	test_loss: nan	
22test_auc: 0.9386	test_accuracy: 0.8866	test_loss: nan	
23test_auc: 0.9386	test_accuracy: 0.8832	test_loss: nan	
24test_auc: 0.9342	test_accuracy: 0.8841	test_loss: nan	
25test_auc: 0.9351	test_accuracy: 0.8839	test_loss: nan	
26test_auc: 0.9301	test_accuracy: 0.8765	test_loss: nan	
27test_auc: 0.9337	test_accuracy: 0.8780	test_loss: nan	
28test_auc: 0.9369	test_accuracy: 0.8824	test_loss: nan	
29test_auc: 0.9324	test_accuracy: 0.8816	test_loss: nan	
30test_auc: 0.9355	test_accuracy: 0.8819	test_loss: nan	
31test_auc: 0.9306	test_accuracy: 0.8762	test_loss: nan	
32test_auc: 0.9390	test_accuracy: 0.8840	test_loss: nan	
33test_auc: 0.9325	test_accuracy: 0.8840	test_loss: nan	
34test_auc: 0.9282	test_accuracy: 0.8751	test_loss: nan	
35test_auc: 0.9266	test_accuracy: 0.8755	test_loss: nan	
36test_auc: 0.9261	test_accuracy: 0.8757	test_loss: nan	
37test_auc: 0.9367	test_accuracy: 0.8831	test_loss: nan	
38test_auc: 0.9342	test_accuracy: 0.8820	test_loss: nan	
39test_auc: 0.9339	test_accuracy: 0.8776	test_loss: nan	
40test_auc: 0.9317	test_accuracy: 0.8819	test_loss: nan	
41test_auc: 0.9350	test_accuracy: 0.8858	test_loss: nan	
42test_auc: 0.9360	test_accuracy: 0.8830	test_loss: nan	
43test_auc: 0.9326	test_accuracy: 0.8821	test_loss: nan	
44test_auc: 0.9330	test_accuracy: 0.8824	test_loss: nan	
45test_auc: 0.9312	test_accuracy: 0.8753	test_loss: nan	
46test_auc: 0.9354	test_accuracy: 0.8841	test_loss: nan	
47test_auc: 0.9286	test_accuracy: 0.8778	test_loss: nan	
48test_auc: 0.9302	test_accuracy: 0.8766	test_loss: nan	
49test_auc: 0.9357	test_accuracy: 0.8831	test_loss: nan	
50test_auc: 0.9330	test_accuracy: 0.8830	test_loss: nan	
51test_auc: 0.9330	test_accuracy: 0.8815	test_loss: nan	
52test_auc: 0.9334	test_accuracy: 0.8843	test_loss: nan	
53test_auc: 0.9367	test_accuracy: 0.8822	test_loss: nan	
54test_auc: 0.9337	test_accuracy: 0.8806	test_loss: nan	
55test_auc: 0.9375	test_accuracy: 0.8903	test_loss: nan	
56test_auc: 0.9250	test_accuracy: 0.8699	test_loss: nan	
57test_auc: 0.9375	test_accuracy: 0.8875	test_loss: nan	
58test_auc: 0.9368	test_accuracy: 0.8808	test_loss: nan	
59test_auc: 0.9352	test_accuracy: 0.8758	test_loss: nan	
60test_auc: 0.9372	test_accuracy: 0.8844	test_loss: nan	
61test_auc: 0.9347	test_accuracy: 0.8781	test_loss: nan	
62test_auc: 0.9313	test_accuracy: 0.8791	test_loss: nan	
63test_auc: 0.9411	test_accuracy: 0.8855	test_loss: nan	
64test_auc: 0.9422	test_accuracy: 0.8869	test_loss: nan	
