Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-RKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.46734, auc : 0.78557, accuracy : 0.78136
Epoch 1/20, valid auc : 0.80633, valid accuracy : 0.79728
0.0000 to 0.8063
test_auc: 0.6865	test_accuracy: 0.6640	test_loss: 0.6082	
0test_auc: 0.6823	test_accuracy: 0.6988	test_loss: 0.5925	
1test_auc: 0.8945	test_accuracy: 0.8768	test_loss: 0.3326	
2test_auc: 0.7969	test_accuracy: 0.7964	test_loss: 0.4521	
3test_auc: 0.7890	test_accuracy: 0.8090	test_loss: 0.4383	
4test_auc: 0.8566	test_accuracy: 0.8449	test_loss: 0.3696	
5test_auc: 0.8115	test_accuracy: 0.8102	test_loss: 0.4264	
6test_auc: 0.8244	test_accuracy: 0.8128	test_loss: 0.4158	
7test_auc: 0.8379	test_accuracy: 0.8301	test_loss: 0.3864	
8test_auc: 0.8135	test_accuracy: 0.8085	test_loss: 0.4235	
9test_auc: 0.8204	test_accuracy: 0.8089	test_loss: 0.4149	
10test_auc: 0.8272	test_accuracy: 0.8191	test_loss: 0.3971	
11test_auc: 0.8130	test_accuracy: 0.8059	test_loss: 0.4230	
12test_auc: 0.8112	test_accuracy: 0.8002	test_loss: 0.4262	
13test_auc: 0.8259	test_accuracy: 0.8072	test_loss: 0.4224	
14test_auc: 0.8158	test_accuracy: 0.8117	test_loss: nan	
15test_auc: 0.7998	test_accuracy: 0.8055	test_loss: nan	
16test_auc: 0.8074	test_accuracy: 0.8025	test_loss: nan	
17test_auc: 0.8162	test_accuracy: 0.7996	test_loss: nan	
18test_auc: 0.8190	test_accuracy: 0.8086	test_loss: nan	
19test_auc: 0.8281	test_accuracy: 0.8081	test_loss: nan	
20test_auc: 0.8156	test_accuracy: 0.8016	test_loss: nan	
21test_auc: 0.7944	test_accuracy: 0.7879	test_loss: nan	
22test_auc: 0.8259	test_accuracy: 0.8103	test_loss: nan	
23test_auc: 0.8103	test_accuracy: 0.7915	test_loss: nan	
24test_auc: 0.8150	test_accuracy: 0.7981	test_loss: nan	
25test_auc: 0.8060	test_accuracy: 0.7910	test_loss: nan	
26test_auc: 0.8225	test_accuracy: 0.8014	test_loss: nan	
27test_auc: 0.8156	test_accuracy: 0.8037	test_loss: nan	
28test_auc: 0.8019	test_accuracy: 0.7927	test_loss: nan	
29test_auc: 0.8030	test_accuracy: 0.8019	test_loss: nan	
30test_auc: 0.8210	test_accuracy: 0.7941	test_loss: nan	
31test_auc: 0.8243	test_accuracy: 0.7926	test_loss: nan	
32test_auc: 0.8250	test_accuracy: 0.7901	test_loss: nan	
33test_auc: 0.8054	test_accuracy: 0.7874	test_loss: nan	
34test_auc: 0.8195	test_accuracy: 0.7864	test_loss: nan	
35test_auc: 0.8106	test_accuracy: 0.7918	test_loss: nan	
36test_auc: 0.7999	test_accuracy: 0.7801	test_loss: nan	
37test_auc: 0.8228	test_accuracy: 0.7986	test_loss: nan	
38test_auc: 0.8169	test_accuracy: 0.7945	test_loss: nan	
39test_auc: 0.8215	test_accuracy: 0.8002	test_loss: nan	
40test_auc: 0.8008	test_accuracy: 0.7855	test_loss: nan	
41test_auc: 0.7919	test_accuracy: 0.7741	test_loss: nan	
42test_auc: 0.8135	test_accuracy: 0.7927	test_loss: nan	
43test_auc: 0.8145	test_accuracy: 0.7942	test_loss: nan	
44test_auc: 0.8307	test_accuracy: 0.8015	test_loss: nan	
45test_auc: 0.8102	test_accuracy: 0.7830	test_loss: nan	
