Namespace(batch_size=32, data_dir='./data/HDUOJ', data_name='HDUOJ', dataset_type='HDUOJ', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='HDUOJ', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-SAKT', momentum=0.9, n_question=5320, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='HDUOJ', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.32420, auc : 0.92536, accuracy : 0.87118
Epoch 1/20, valid auc : 0.90976, valid accuracy : 0.84842
0.0000 to 0.9098
test_auc: 0.6052	test_accuracy: 0.5787	test_loss: 0.6772	
0test_auc: 0.8453	test_accuracy: 0.8199	test_loss: 0.4434	
1test_auc: 0.8956	test_accuracy: 0.8601	test_loss: 0.3687	
2test_auc: 0.9190	test_accuracy: 0.8758	test_loss: 0.3243	
3test_auc: 0.9245	test_accuracy: 0.8812	test_loss: 0.3128	
4test_auc: 0.9222	test_accuracy: 0.8773	test_loss: 0.3169	
5test_auc: 0.9227	test_accuracy: 0.8783	test_loss: 0.3147	
6test_auc: 0.9277	test_accuracy: 0.8815	test_loss: 0.3095	
7test_auc: 0.9277	test_accuracy: 0.8835	test_loss: 0.3074	
8test_auc: 0.9288	test_accuracy: 0.8825	test_loss: 0.3071	
9test_auc: 0.9275	test_accuracy: 0.8775	test_loss: nan	
10test_auc: 0.9246	test_accuracy: 0.8786	test_loss: nan	
11test_auc: 0.9264	test_accuracy: 0.8763	test_loss: nan	
12test_auc: 0.9262	test_accuracy: 0.8813	test_loss: nan	
13test_auc: 0.9293	test_accuracy: 0.8834	test_loss: nan	
14test_auc: 0.9270	test_accuracy: 0.8791	test_loss: nan	
15test_auc: 0.9278	test_accuracy: 0.8805	test_loss: nan	
16test_auc: 0.9263	test_accuracy: 0.8748	test_loss: nan	
17test_auc: 0.9254	test_accuracy: 0.8772	test_loss: nan	
18test_auc: 0.9261	test_accuracy: 0.8828	test_loss: nan	
19test_auc: 0.9268	test_accuracy: 0.8678	test_loss: nan	
20test_auc: 0.9267	test_accuracy: 0.8827	test_loss: nan	
21test_auc: 0.9259	test_accuracy: 0.8776	test_loss: nan	
22test_auc: 0.9308	test_accuracy: 0.8807	test_loss: nan	
23test_auc: 0.9301	test_accuracy: 0.8703	test_loss: nan	
24test_auc: 0.9267	test_accuracy: 0.8723	test_loss: nan	
25test_auc: 0.9275	test_accuracy: 0.8806	test_loss: nan	
26test_auc: 0.9234	test_accuracy: 0.8734	test_loss: nan	
27test_auc: 0.9245	test_accuracy: 0.8652	test_loss: nan	
28test_auc: 0.9267	test_accuracy: 0.8751	test_loss: nan	
29test_auc: 0.9234	test_accuracy: 0.8638	test_loss: nan	
30test_auc: 0.9272	test_accuracy: 0.8679	test_loss: nan	
31test_auc: 0.9200	test_accuracy: 0.8612	test_loss: nan	
32test_auc: 0.9284	test_accuracy: 0.8669	test_loss: nan	
33test_auc: 0.9216	test_accuracy: 0.8647	test_loss: nan	
34test_auc: 0.9167	test_accuracy: 0.8584	test_loss: nan	
35test_auc: 0.9189	test_accuracy: 0.8709	test_loss: nan	
36test_auc: 0.9167	test_accuracy: 0.8656	test_loss: nan	
37test_auc: 0.9293	test_accuracy: 0.8818	test_loss: nan	
38test_auc: 0.9270	test_accuracy: 0.8744	test_loss: nan	
39test_auc: 0.9248	test_accuracy: 0.8604	test_loss: nan	
40test_auc: 0.9229	test_accuracy: 0.8658	test_loss: nan	
41test_auc: 0.9261	test_accuracy: 0.8714	test_loss: nan	
42test_auc: 0.9261	test_accuracy: 0.8659	test_loss: nan	
43test_auc: 0.9218	test_accuracy: 0.8577	test_loss: nan	
44test_auc: 0.9240	test_accuracy: 0.8637	test_loss: nan	
45test_auc: 0.9216	test_accuracy: 0.8549	test_loss: nan	
46test_auc: 0.9257	test_accuracy: 0.8668	test_loss: nan	
47test_auc: 0.9165	test_accuracy: 0.8602	test_loss: nan	
48test_auc: 0.9171	test_accuracy: 0.8524	test_loss: nan	
49test_auc: 0.9248	test_accuracy: 0.8616	test_loss: nan	
50test_auc: 0.9229	test_accuracy: 0.8698	test_loss: nan	
51test_auc: 0.9227	test_accuracy: 0.8683	test_loss: nan	
52test_auc: 0.9250	test_accuracy: 0.8634	test_loss: nan	
53test_auc: 0.9275	test_accuracy: 0.8653	test_loss: nan	
54test_auc: 0.9209	test_accuracy: 0.8570	test_loss: nan	
55test_auc: 0.9281	test_accuracy: 0.8723	test_loss: nan	
56test_auc: 0.9136	test_accuracy: 0.8484	test_loss: nan	
57test_auc: 0.9273	test_accuracy: 0.8667	test_loss: nan	
58test_auc: 0.9268	test_accuracy: 0.8625	test_loss: nan	
59test_auc: 0.9225	test_accuracy: 0.8613	test_loss: nan	
60test_auc: 0.9253	test_accuracy: 0.8706	test_loss: nan	
61test_auc: 0.9221	test_accuracy: 0.8587	test_loss: nan	
62test_auc: 0.9191	test_accuracy: 0.8556	test_loss: nan	
63test_auc: 0.9273	test_accuracy: 0.8691	test_loss: nan	
64test_auc: 0.9298	test_accuracy: 0.8641	test_loss: nan	
65test_auc: 0.9198	test_accuracy: 0.8548	test_loss: nan	
66test_auc: 0.9164	test_accuracy: 0.8528	test_loss: nan	
67test_auc: 0.9231	test_accuracy: 0.8661	test_loss: nan	
68test_auc: 0.9251	test_accuracy: 0.8571	test_loss: nan	
69test_auc: 0.9185	test_accuracy: 0.8576	test_loss: nan	
70test_auc: 0.9211	test_accuracy: 0.8547	test_loss: nan	
71test_auc: 0.9219	test_accuracy: 0.8566	test_loss: nan	
72test_auc: 0.9264	test_accuracy: 0.8631	test_loss: nan	
