Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-SAKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.55246, auc : 0.77010, accuracy : 0.73272
Epoch 1/20, valid auc : 0.84195, valid accuracy : 0.77880
0.0000 to 0.8420
test_auc: 0.6049	test_accuracy: 0.5299	test_loss: 0.7035	
0test_auc: 0.8099	test_accuracy: 0.7479	test_loss: 0.5186	
1test_auc: 0.7757	test_accuracy: 0.7614	test_loss: 0.5264	
2test_auc: 0.8583	test_accuracy: 0.8195	test_loss: 0.4228	
3test_auc: 0.8347	test_accuracy: 0.8016	test_loss: 0.4550	
4test_auc: 0.8497	test_accuracy: 0.7989	test_loss: 0.4385	
5test_auc: 0.8285	test_accuracy: 0.7782	test_loss: 0.4703	
6test_auc: 0.8672	test_accuracy: 0.8123	test_loss: 0.4149	
7test_auc: 0.8318	test_accuracy: 0.7750	test_loss: 0.4753	
8test_auc: 0.8920	test_accuracy: 0.8201	test_loss: 0.3951	
9test_auc: 0.8373	test_accuracy: 0.7767	test_loss: 0.4693	
10test_auc: 0.8262	test_accuracy: 0.7666	test_loss: 0.4768	
11test_auc: 0.8312	test_accuracy: 0.7733	test_loss: 0.4654	
12test_auc: 0.8549	test_accuracy: 0.7902	test_loss: 0.4315	
13test_auc: 0.8466	test_accuracy: 0.7908	test_loss: 0.4735	
14test_auc: 0.8452	test_accuracy: 0.7894	test_loss: 0.4689	
15test_auc: 0.8425	test_accuracy: 0.7828	test_loss: 0.4877	
