Dataset, Model,Accuracy(111),Accuracy(110)
assist2009,DKT,0.9842393636193802,0.07082507637072766
assist2009,LSTMA,0.9998004129471894,0.0010374446476395503
assist2009,SAKT,XXX,XXX
assist2009,RKT,0.94799535977608,0.14268203813789884
assist2009,AKT,0.9935458170673862,0.024994408713435112
assist2009,DKVMN,0.9749421029624343,0.0664654713872925

assist2012,DKT,0.9977191209298681,0.00963476244802497
assist2012,LSTMA,0.9974932506484795,0.004986390798062826
assist2012,RKT,0.9758269384967105,0.0654978591359591
assist2012,AKT,0.9840579693365719,0.023111004854356215
assist2012,DKVMN,0.9836060438873255,0.048355540540373804

assist2015,DKT,0.9883109470671918,0.016301680661500752
assist2015,LSTMA,0.9988169082136394,0.0034133409485733327
assist2015,RKT,0.9919756666703012,0.05801662904811332
assist2015,AKT,0.9984321646385216,0.013816926701484426
assist2015,DKVMN,0.9895301151798109,0.04252038449639649

Junyi,DKT,0.9994269002982744,0.004707729716979699
Junyi,LSTMA,0.9969361507933899,0.010902072191265474
Junyi,RKT,0.9401875975064871,0.22722676899265218
Junyi,AKT,0.9981356764745263,0.012460597631574184
Junyi,DKVMN,0.9390434364403794,0.15160372097118444

Algebra08,DKT,0.9998617241608715,0.00011990224140658085
Algebra08,LSTMA,0.9998864101170005,0.0001182374931843993
Algebra08,RKT,1.0,0.0
Algebra08,AKT,1.0,0.0
Algebra08,DKVMN,0.9994912623949055,0.0010133424331783018
